CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,InscritosHabilitados,VotoValido,VotoBlanco,VotoNulo,VotoEmitido,VotoValidoReal,VotoEmitidoReal
1,Cercado,1,Trinidad,2526,Trinidad,1,U.E. Liceo Mario Saielly,8000182,1,240,164,42,2,208,164,208
1,Cercado,1,Trinidad,2526,Trinidad,1,U.E. Liceo Mario Saielly,8000192,2,240,136,38,15,189,136,189
1,Cercado,1,Trinidad,2526,Trinidad,1,U.E. Liceo Mario Saielly,8000202,3,240,143,47,17,207,143,207
1,Cercado,1,Trinidad,2526,Trinidad,1,U.E. Liceo Mario Saielly,8000212,4,22,13,1,1,15,13,15
1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,8000222,1,240,151,37,5,193,151,193
1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,8000232,2,240,147,35,14,196,147,196
1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,8000242,3,240,148,36,6,190,148,190
1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,8000252,4,240,147,30,10,187,147,187
1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,8000262,5,240,149,45,3,197,149,197
1,Cercado,1,Trinidad,2526,Trinidad,2,U.E. Nicolas Suarez,8000272,6,239,141,35,3,179,141,179
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000902,1,240,125,62,8,195,125,195
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000912,2,240,135,48,12,195,135,195
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000922,3,240,128,56,19,203,128,203
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000932,4,240,137,53,6,196,137,196
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000942,5,240,122,63,11,196,122,196
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000952,6,240,152,41,12,205,152,205
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000962,7,240,117,69,10,196,117,196
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000972,8,240,123,66,9,198,123,198
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000982,9,240,126,61,9,196,126,196
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8000992,10,240,145,53,12,210,145,210
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8001002,11,240,108,70,8,186,108,186
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8001012,12,240,147,55,9,211,147,211
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8001022,13,240,125,50,12,187,125,187
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8001032,14,240,125,53,10,188,125,188
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8001042,15,240,149,30,13,192,149,192
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8001052,16,240,130,51,7,188,130,188
1,Cercado,1,Trinidad,2526,Trinidad,5,U.E. J. Chavez Suarez,8001062,17,240,134,57,8,199,134,199
