CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,AGN,PATRIA-UNIDOS,MTS,LIBRE,XS-CH,NGP,FRI,CHR,ASOCOIN-POROMA,COKASAL,A-UPP,FUERZA,APB-SUMATE
1,Oropeza,1,Sucre,1204,Arabate,52,Escuela Arabate,1000197,1,2,12,2,1,10,5,4,5,,,6,11,4
1,Oropeza,1,Sucre,1205,Chaunaca,53,Escuela Seccional De Chaunaca,1000207,1,3,34,5,2,6,9,6,21,,,6,63,7
1,Oropeza,1,Sucre,1206,Chuqui Chuqui,54,Unidad Educativa Chuqui Chuqui,1000217,1,26,23,9,3,4,5,7,37,,,19,29,4
1,Oropeza,1,Sucre,1206,Chuqui Chuqui,54,Unidad Educativa Chuqui Chuqui,1000227,2,20,11,8,3,2,9,6,43,,,11,32,1
1,Oropeza,1,Sucre,1206,Chuqui Chuqui,54,Unidad Educativa Chuqui Chuqui,1000237,3,9,6,3,3,0,7,0,11,,,3,7,0
1,Oropeza,1,Sucre,1207,Surima,55,Escuela Fray Gabriel Maria Landini,1000247,1,6,8,5,1,4,6,6,49,,,9,47,2
1,Oropeza,1,Sucre,1207,Surima,55,Escuela Fray Gabriel Maria Landini,1000257,2,10,12,3,3,6,3,6,55,,,6,43,3
1,Oropeza,1,Sucre,1207,Surima,55,Escuela Fray Gabriel Maria Landini,1000267,3,7,7,10,7,4,8,5,48,,,7,41,5
1,Oropeza,1,Sucre,1208,Imilla Huañusca,56,Escuela Fray Gabriel Mariscal,1000277,1,8,24,6,3,2,5,11,10,,,15,33,7
1,Oropeza,1,Sucre,1208,Imilla Huañusca,56,Escuela Fray Gabriel Mariscal,1000287,2,0,3,4,5,0,0,3,1,,,2,7,1
1,Oropeza,1,Sucre,1218,Punilla,58,Escuela Punilla,1000297,1,14,23,4,4,7,9,4,25,,,13,48,6
1,Oropeza,1,Sucre,1219,Mojotoro,59,Unidad Educativa La Palma,1000307,1,13,22,7,7,6,4,4,15,,,12,41,4
1,Oropeza,1,Sucre,1219,Mojotoro,59,Unidad Educativa La Palma,1000317,2,7,40,6,3,5,13,2,13,,,14,31,5
1,Oropeza,1,Sucre,1219,Mojotoro,59,Unidad Educativa La Palma,1000327,3,18,32,8,3,6,9,5,7,,,9,31,5
1,Oropeza,1,Sucre,1220,Ckacha Ckacha,60,Escuela José Sampa,1000337,1,12,34,9,15,4,7,5,37,,,8,16,4
