CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,AGN,LIBRE,PATRIA-UNIDOS,MTS,XS-CH,FRI,NGP,A-UPP
1,Oropeza,1,Sucre,1204,Arabate,52,Escuela Arabate,1000191,1,4,1,24,6,5,7,,3
1,Oropeza,1,Sucre,1205,Chaunaca,53,Escuela Seccional De Chaunaca,1000201,1,9,6,71,18,8,10,,5
1,Oropeza,1,Sucre,1206,Chuqui Chuqui,54,Unidad Educativa Chuqui Chuqui,1000211,1,32,4,48,19,6,4,,14
1,Oropeza,1,Sucre,1206,Chuqui Chuqui,54,Unidad Educativa Chuqui Chuqui,1000221,2,40,6,23,18,3,7,,4
1,Oropeza,1,Sucre,1206,Chuqui Chuqui,54,Unidad Educativa Chuqui Chuqui,1000231,3,11,5,13,6,0,1,,1
1,Oropeza,1,Sucre,1207,Surima,55,Escuela Fray Gabriel Maria Landini,1000241,1,15,8,39,21,4,10,,14
1,Oropeza,1,Sucre,1207,Surima,55,Escuela Fray Gabriel Maria Landini,1000251,2,16,7,42,28,6,10,,7
1,Oropeza,1,Sucre,1207,Surima,55,Escuela Fray Gabriel Maria Landini,1000261,3,10,5,38,30,8,7,,10
1,Oropeza,1,Sucre,1208,Imilla Huañusca,56,Escuela Fray Gabriel Mariscal,1000271,1,8,6,40,8,1,20,,15
1,Oropeza,1,Sucre,1208,Imilla Huañusca,56,Escuela Fray Gabriel Mariscal,1000281,2,3,3,5,2,1,4,,1
1,Oropeza,1,Sucre,1218,Punilla,58,Escuela Punilla,1000291,1,16,7,54,8,7,8,,15
1,Oropeza,1,Sucre,1219,Mojotoro,59,Unidad Educativa La Palma,1000301,1,17,7,41,4,6,9,,15
1,Oropeza,1,Sucre,1219,Mojotoro,59,Unidad Educativa La Palma,1000311,2,11,10,53,3,4,6,,5
1,Oropeza,1,Sucre,1219,Mojotoro,59,Unidad Educativa La Palma,1000321,3,9,9,43,6,4,12,,15
1,Oropeza,1,Sucre,1220,Ckacha Ckacha,60,Escuela José Sampa,1000331,1,18,8,49,12,7,5,,5
1,Oropeza,1,Sucre,1220,Ckacha Ckacha,60,Escuela José Sampa,1000341,2,1,2,7,2,0,2,,1
1,Oropeza,1,Sucre,1221,El Chaco,61,Unidad Educativa Luis Espinal,1000351,1,18,12,28,13,9,9,,17
1,Oropeza,1,Sucre,1221,El Chaco,61,Unidad Educativa Luis Espinal,1000361,2,12,10,45,8,4,2,,19
1,Oropeza,1,Sucre,1221,El Chaco,61,Unidad Educativa Luis Espinal,1000371,3,15,11,32,10,9,2,,14
1,Oropeza,1,Sucre,1223,Potolo,62,U. Edu. Gualberto Villarroel,1000381,1,34,1,32,14,7,11,,3
1,Oropeza,1,Sucre,1223,Potolo,62,U. Edu. Gualberto Villarroel,1000391,2,16,2,36,18,11,10,,4
1,Oropeza,1,Sucre,1223,Potolo,62,U. Edu. Gualberto Villarroel,1000401,3,19,4,31,19,13,16,,4
1,Oropeza,1,Sucre,1223,Potolo,62,U. Edu. Gualberto Villarroel,1000411,4,21,3,22,5,8,10,,6
1,Oropeza,1,Sucre,1225,Quila Quila,63,Unidad Educativa Quila Quila,1000421,1,12,1,36,7,7,18,,8
1,Oropeza,1,Sucre,1225,Quila Quila,63,Unidad Educativa Quila Quila,1000431,2,11,3,29,5,8,10,,10
1,Oropeza,1,Sucre,1225,Quila Quila,63,Unidad Educativa Quila Quila,1000441,3,4,5,8,2,5,10,,1
1,Oropeza,1,Sucre,1230,Maragua,65,Colegio 24 de Septiembre   Maragua,1000451,1,9,1,61,12,8,7,,7
1,Oropeza,1,Sucre,1230,Maragua,65,Colegio 24 de Septiembre   Maragua,1000461,2,3,1,5,0,0,1,,1
1,Oropeza,1,Sucre,2794,Sucre,101,Colegio Junin,1001091,1,62,29,44,2,11,3,,5
1,Oropeza,1,Sucre,2794,Sucre,101,Colegio Junin,1001101,2,62,17,43,2,16,5,,5
1,Oropeza,1,Sucre,2794,Sucre,101,Colegio Junin,1001111,3,73,22,38,4,13,4,,8
1,Oropeza,1,Sucre,2794,Sucre,101,Colegio Junin,1001121,4,68,21,46,0,10,4,,1
1,Oropeza,1,Sucre,2794,Sucre,101,Colegio Junin,1001131,5,29,17,37,2,3,4,,1
1,Oropeza,1,Sucre,2794,Sucre,103,Esc. Mariscal De Ayacucho,1000631,1,59,25,39,1,11,4,,11
1,Oropeza,1,Sucre,2794,Sucre,103,Esc. Mariscal De Ayacucho,1000641,2,70,21,36,2,11,5,,7
1,Oropeza,1,Sucre,2794,Sucre,106,Kinder San Vicente De Paul,1000821,1,51,30,52,2,19,4,,4
1,Oropeza,1,Sucre,2794,Sucre,106,Kinder San Vicente De Paul,1000831,2,55,22,41,1,19,2,,3
1,Oropeza,1,Sucre,2794,Sucre,106,Kinder San Vicente De Paul,1000841,3,58,29,56,2,16,4,,3
1,Oropeza,1,Sucre,2794,Sucre,106,Kinder San Vicente De Paul,1000851,4,54,23,46,2,18,3,,12
1,Oropeza,1,Sucre,2794,Sucre,106,Kinder San Vicente De Paul,1000861,5,65,21,55,2,14,5,,5
1,Oropeza,1,Sucre,2794,Sucre,106,Kinder San Vicente De Paul,1000871,6,61,23,34,0,10,7,,4
1,Oropeza,1,Sucre,2794,Sucre,106,Kinder San Vicente De Paul,1000881,7,70,27,38,4,14,5,,8
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004721,1,69,17,68,0,19,3,,7
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004731,2,57,26,48,2,10,8,,8
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004741,3,60,23,66,2,13,3,,4
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004751,4,59,23,65,3,13,1,,13
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004761,5,60,19,64,2,22,3,,3
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004771,6,73,19,41,4,16,6,,1
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004781,7,44,20,64,2,19,2,,6
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004791,8,60,18,65,4,19,1,,4
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004801,9,65,20,50,2,14,5,,3
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004811,10,69,14,62,2,12,3,,3
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004821,11,69,13,50,2,14,4,,4
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004831,12,67,29,56,2,12,1,,3
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004841,13,67,17,63,3,13,3,,6
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004851,14,54,28,47,5,12,8,,10
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004861,15,58,25,45,7,11,2,,4
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008511,1,35,8,44,14,17,3,,9
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008521,2,42,11,51,9,12,2,,6
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008531,3,26,11,43,3,25,6,,7
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008541,4,26,6,40,14,10,9,,9
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008551,5,36,7,39,10,14,9,,6
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008561,6,28,9,56,7,20,2,,2
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008571,7,34,6,52,8,16,5,,3
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008581,8,30,12,53,5,21,5,,8
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008591,9,33,8,48,11,20,7,,9
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008601,10,31,8,43,8,14,2,,3
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008611,11,18,10,35,11,10,5,,2
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005271,1,44,21,52,5,14,7,,9
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005281,2,35,17,58,7,16,2,,13
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005291,3,45,18,55,4,12,4,,12
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005301,4,48,16,46,5,14,7,,7
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005311,5,37,21,53,11,9,3,,9
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005321,6,28,17,42,7,16,11,,10
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005331,7,51,16,43,3,13,9,,10
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005341,8,55,17,55,4,13,8,,10
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005351,9,44,20,54,7,8,6,,12
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005361,10,34,15,53,4,16,5,,17
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005371,11,45,17,40,7,12,4,,8
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005381,12,33,24,53,6,16,3,,13
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005391,13,43,18,47,7,15,4,,12
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005401,14,40,22,44,8,14,6,,6
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005411,15,49,19,45,2,12,8,,9
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005421,16,43,24,45,4,12,6,,10
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005431,17,33,31,46,5,12,9,,6
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005441,18,40,25,51,6,11,10,,13
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005451,19,36,12,50,7,16,4,,13
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005461,20,38,24,39,6,16,9,,12
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005471,21,41,15,46,6,15,13,,8
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005481,22,51,13,35,7,17,11,,4
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005491,23,47,23,53,3,10,3,,9
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005501,24,34,16,57,7,9,8,,10
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005511,25,22,10,24,3,9,4,,2
1,Oropeza,1,Sucre,2794,Sucre,113,Esc. Benjamin Guzman,1003191,1,60,22,68,5,5,5,,3
1,Oropeza,1,Sucre,2794,Sucre,113,Esc. Benjamin Guzman,1003201,2,57,28,54,2,14,3,,7
1,Oropeza,1,Sucre,2794,Sucre,113,Esc. Benjamin Guzman,1003211,3,78,23,47,6,10,4,,10
1,Oropeza,1,Sucre,2794,Sucre,113,Esc. Benjamin Guzman,1003221,4,69,24,47,5,8,6,,8
1,Oropeza,1,Sucre,2794,Sucre,113,Esc. Benjamin Guzman,1003231,5,72,21,48,3,8,6,,8
1,Oropeza,1,Sucre,2794,Sucre,113,Esc. Benjamin Guzman,1003241,6,27,11,25,0,4,3,,1
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1000961,1,55,20,57,4,15,7,,4
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1000971,2,52,21,52,1,24,4,,7
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1000981,3,52,20,44,5,21,7,,6
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1000991,4,67,19,37,3,34,3,,5
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001001,5,61,11,37,5,33,6,,6
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001011,6,65,18,38,4,25,11,,3
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001021,7,56,11,57,7,23,7,,11
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001031,8,48,31,46,8,26,8,,3
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001041,9,57,25,52,5,18,6,,8
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001051,10,42,21,57,6,28,3,,3
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001061,11,69,13,49,1,26,6,,6
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001071,12,58,17,39,7,22,6,,3
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001081,13,7,4,6,3,4,0,,0
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009501,1,36,14,70,5,11,10,,7
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009511,2,27,11,58,6,4,6,,12
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009521,3,44,7,61,6,11,7,,7
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009531,4,37,12,64,8,12,6,,4
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009541,5,37,12,48,13,12,8,,5
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009551,6,43,9,69,4,12,3,,8
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009561,7,39,15,44,9,17,6,,5
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009571,8,40,12,50,5,10,5,,11
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009581,9,30,11,42,6,9,4,,9
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004331,1,81,31,40,6,12,9,,2
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004341,2,76,21,45,1,11,6,,4
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004351,3,69,27,44,1,12,2,,3
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004361,4,54,28,61,7,19,5,,6
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004371,5,64,21,54,1,14,3,,7
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004381,6,51,19,58,4,18,6,,6
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004391,7,64,22,56,2,13,5,,5
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004401,8,66,25,46,4,18,4,,4
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004411,9,67,29,59,2,12,6,,5
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004421,10,59,28,52,3,16,6,,3
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004431,11,57,31,42,1,24,4,,4
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004441,12,65,26,56,1,14,6,,3
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004451,13,60,28,34,5,16,12,,4
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004461,14,60,33,54,1,12,6,,5
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004471,15,57,20,59,3,9,6,,5
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004481,16,65,27,45,6,13,5,,5
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004491,17,9,3,11,2,7,2,,3
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003751,1,37,12,50,8,13,6,,19
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003761,2,56,17,47,14,13,7,,11
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003771,3,44,18,49,9,18,8,,13
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003781,4,52,20,43,5,17,8,,7
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003791,5,42,10,44,7,12,10,,10
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003801,6,35,18,62,8,9,9,,11
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003811,7,47,19,43,3,16,9,,9
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003821,8,43,20,40,2,24,12,,10
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003831,9,51,15,56,5,12,7,,10
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003841,10,50,14,43,6,11,7,,9
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003851,11,50,18,53,4,14,10,,8
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003861,12,45,15,52,9,5,4,,10
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003871,13,59,14,59,4,13,10,,6
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003881,14,45,18,38,5,24,8,,10
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003891,15,48,11,51,9,14,9,,9
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003901,16,57,14,47,2,13,12,,9
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003911,17,48,14,59,1,22,10,,5
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003921,18,44,25,48,10,15,8,,8
