CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,AGN,PATRIA-UNIDOS,MTS,LIBRE,XS-CH,FRI,CHR,NGP,ASOCOIN-POROMA,COKASAL,A-UPP,FUERZA,APB-SUMATE
1,Oropeza,1,Sucre,1204,Arabate,52,Escuela Arabate,1000197,1,1,9,3,1,4,1,2,4,,,4,6,3
1,Oropeza,1,Sucre,1205,Chaunaca,53,Escuela Seccional De Chaunaca,1000207,1,2,26,5,3,5,4,10,5,,,9,44,5
1,Oropeza,1,Sucre,1206,Chuqui Chuqui,54,Unidad Educativa Chuqui Chuqui,1000217,1,17,13,4,2,2,3,14,3,,,20,18,3
1,Oropeza,1,Sucre,1206,Chuqui Chuqui,54,Unidad Educativa Chuqui Chuqui,1000227,2,17,4,5,2,1,2,20,5,,,11,23,1
1,Oropeza,1,Sucre,1206,Chuqui Chuqui,54,Unidad Educativa Chuqui Chuqui,1000237,3,7,3,3,1,0,0,6,1,,,2,1,0
1,Oropeza,1,Sucre,1207,Surima,55,Escuela Fray Gabriel Maria Landini,1000247,1,4,5,4,0,2,3,29,4,,,8,34,0
1,Oropeza,1,Sucre,1207,Surima,55,Escuela Fray Gabriel Maria Landini,1000257,2,6,9,4,4,1,1,31,1,,,7,26,1
1,Oropeza,1,Sucre,1207,Surima,55,Escuela Fray Gabriel Maria Landini,1000267,3,5,6,7,6,5,3,31,4,,,3,21,0
1,Oropeza,1,Sucre,1208,Imilla Huañusca,56,Escuela Fray Gabriel Mariscal,1000277,1,2,16,2,3,0,8,1,4,,,10,19,3
1,Oropeza,1,Sucre,1208,Imilla Huañusca,56,Escuela Fray Gabriel Mariscal,1000287,2,0,1,1,4,1,2,1,0,,,1,3,1
1,Oropeza,1,Sucre,1218,Punilla,58,Escuela Punilla,1000297,1,7,21,2,4,4,3,11,5,,,10,29,2
1,Oropeza,1,Sucre,1219,Mojotoro,59,Unidad Educativa La Palma,1000307,1,10,16,4,5,3,1,5,3,,,6,17,3
1,Oropeza,1,Sucre,1219,Mojotoro,59,Unidad Educativa La Palma,1000317,2,5,18,2,4,2,1,6,7,,,9,16,1
1,Oropeza,1,Sucre,1219,Mojotoro,59,Unidad Educativa La Palma,1000327,3,10,18,2,3,6,3,4,6,,,9,18,3
1,Oropeza,1,Sucre,1220,Ckacha Ckacha,60,Escuela José Sampa,1000337,1,10,26,7,20,7,2,14,5,,,3,9,1
1,Oropeza,1,Sucre,1220,Ckacha Ckacha,60,Escuela José Sampa,1000347,2,1,5,0,1,0,1,0,1,,,1,1,0
1,Oropeza,1,Sucre,1221,El Chaco,61,Unidad Educativa Luis Espinal,1000357,1,19,16,4,7,3,3,19,1,,,9,8,1
1,Oropeza,1,Sucre,1221,El Chaco,61,Unidad Educativa Luis Espinal,1000367,2,10,16,6,7,0,1,18,3,,,7,6,1
1,Oropeza,1,Sucre,1221,El Chaco,61,Unidad Educativa Luis Espinal,1000377,3,9,13,10,6,3,1,12,2,,,6,13,2
