CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,InscritosHabilitados,VotoValido,VotoBlanco,VotoNulo,VotoEmitido,VotoValidoReal,VotoEmitidoReal
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002737,1,240,206,4,8,218,206,218
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002747,2,240,195,5,7,207,195,207
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002757,3,240,193,7,18,218,193,218
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002767,4,240,201,5,11,217,201,217
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002777,5,240,209,2,6,217,209,217
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002787,6,240,191,2,27,220,191,220
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002797,7,240,194,6,22,222,194,222
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002807,8,240,201,1,20,222,201,222
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002817,9,240,180,6,22,208,180,208
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002827,10,240,205,3,15,223,205,223
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002837,11,240,192,6,13,211,192,211
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002847,12,240,199,8,11,218,199,218
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002857,13,240,204,1,7,212,204,212
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002867,14,240,185,6,22,213,185,213
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002877,15,240,203,4,7,214,203,214
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002887,16,254,226,3,5,234,226,234
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001567,1,240,193,3,15,211,193,211
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001577,2,240,198,8,10,216,198,216
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001587,3,240,196,2,6,204,196,204
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001597,4,240,186,4,16,206,186,206
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001607,5,240,190,3,20,213,190,213
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001617,6,240,179,3,23,205,179,205
