CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,UNPA,NGP,MTS,UNIDOS-,PATRIA-UNIDOS,LIBRE,SOLUCIONES-CON-TODOS,PDC,A-UPP,UN,POKUY,FRI,APB-SUMATE,U.P.C,CREE,UNE,FAP,F-S,ARI,TU,PPS
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002737,1,,20,6,6,8,6,9,4,9,,,3,135,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002747,2,,12,2,4,10,10,14,1,16,,,3,123,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002757,3,,14,1,7,8,10,14,1,17,,,10,111,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002767,4,,14,8,16,9,12,10,4,26,,,3,99,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002777,5,,18,4,8,15,8,8,1,26,,,2,119,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002787,6,,17,2,8,6,11,16,2,12,,,1,116,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002797,7,,8,4,16,7,15,5,2,17,,,4,116,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002807,8,,6,6,7,7,8,13,2,22,,,3,127,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002817,9,,11,5,13,6,8,16,2,10,,,1,108,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002827,10,,13,2,13,8,4,13,1,13,,,5,133,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002837,11,,14,6,6,10,11,20,0,13,,,2,110,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002847,12,,9,0,8,8,11,12,3,19,,,3,126,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002857,13,,14,3,12,7,11,13,2,11,,,1,130,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002867,14,,12,3,4,7,12,15,3,16,,,1,112,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002877,15,,12,3,14,12,11,8,3,19,,,4,117,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002887,16,,20,6,10,12,10,11,3,12,,,4,138,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001567,1,,26,8,6,13,8,15,5,21,,,3,88,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001577,2,,15,3,10,12,3,11,7,29,,,6,102,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001587,3,,9,7,11,10,7,13,3,33,,,1,102,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001597,4,,16,2,8,12,13,16,2,28,,,1,88,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001607,5,,17,1,8,15,16,8,8,24,,,0,93,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001617,6,,12,4,3,18,5,5,0,30,,,4,98,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001627,7,,10,5,5,15,6,10,2,41,,,5,94,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001637,8,,10,3,7,7,5,14,3,36,,,4,99,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001647,9,,10,3,4,7,5,13,5,37,,,4,97,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001657,10,,12,3,5,14,9,6,7,25,,,3,111,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001667,11,,13,2,8,12,17,9,1,32,,,1,95,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001677,12,,15,5,11,12,13,7,2,37,,,6,84,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001687,13,,14,6,12,10,13,11,1,27,,,2,95,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001697,14,,16,3,6,15,13,11,5,32,,,3,75,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001707,15,,12,4,13,5,6,12,1,28,,,3,102,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001717,16,,11,4,9,12,4,11,2,26,,,6,103,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001727,17,,13,0,6,13,16,14,5,29,,,3,100,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001737,18,,18,7,8,10,10,8,6,35,,,4,78,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001747,19,,4,4,5,19,13,8,4,26,,,8,106,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001757,20,,15,5,10,6,11,21,1,34,,,3,92,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001767,21,,15,7,5,14,21,10,0,22,,,3,104,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001777,22,,19,3,7,11,7,9,4,23,,,5,111,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001787,23,,15,3,7,18,6,9,4,25,,,5,96,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001797,24,,15,2,6,14,5,11,4,39,,,1,89,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001807,25,,11,4,9,11,10,12,4,39,,,2,97,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001817,26,,23,2,7,10,12,9,2,28,,,4,100,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001827,27,,17,2,8,9,10,9,6,25,,,3,104,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001837,28,,12,2,3,13,7,10,2,29,,,2,121,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001847,29,,16,4,8,14,11,6,6,16,,,3,99,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001857,30,,16,4,6,11,10,4,3,22,,,9,110,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001867,31,,12,6,9,6,12,19,1,25,,,8,93,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001877,32,,21,5,1,17,13,15,1,26,,,1,104,,,,,,,,
