CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,SOLUCIONES-CON-TODOS,PATRIA-UNIDOS,LIBRE,MTS,UNIDOS-,NGP,PDC,FRI,A-UPP,APB-SUMATE
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002731,1,3,11,10,24,3,8,1,3,10,80
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002741,2,2,14,23,22,2,2,1,1,18,75
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002751,3,2,9,10,15,3,5,5,5,15,66
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002761,4,3,5,8,16,6,4,2,6,22,45
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002771,5,1,15,25,11,4,6,2,1,22,76
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002781,6,3,12,10,20,2,6,3,0,12,76
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002791,7,1,6,17,14,3,3,1,2,16,63
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002801,8,2,11,20,21,4,10,3,3,23,79
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002811,9,4,10,21,16,2,0,3,1,11,58
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002821,10,1,7,8,16,5,7,3,0,13,79
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002831,11,2,9,11,20,6,3,1,2,12,67
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002841,12,0,8,16,17,6,7,3,0,16,64
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002851,13,3,9,17,16,2,4,3,3,12,80
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002861,14,3,9,10,29,3,8,1,3,19,62
