CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,SOLUCIONES-CON-TODOS,PATRIA-UNIDOS,MTS,UNIDOS-,NGP,PDC,FRI,A-UPP,APB-SUMATE,LIBRE
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002731,1,,13,27,9,7,3,7,15,87,11
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002741,2,,15,24,2,4,2,5,18,88,19
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002751,3,,14,23,2,5,3,4,16,70,18
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002761,4,,9,20,5,3,3,5,31,56,11
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002771,5,,13,22,4,8,4,5,24,83,19
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002781,6,,13,21,4,7,4,3,15,81,18
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002791,7,,12,16,2,4,1,11,19,71,22
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002801,8,,12,22,5,10,4,5,29,79,20
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002811,9,,12,23,6,1,5,4,9,72,21
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002821,10,,10,18,3,3,3,3,17,84,16
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002831,11,,13,23,2,2,2,5,15,77,18
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002841,12,,10,25,2,5,1,7,15,75,16
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002851,13,,14,19,4,3,3,5,16,94,18
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002861,14,,13,34,4,2,1,8,23,66,8
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002871,15,,16,19,2,7,4,4,23,76,14
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002881,16,,9,21,4,8,4,7,17,87,26
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001561,1,,18,15,5,8,3,6,20,68,25
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001571,2,,9,20,3,10,7,11,33,81,15
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001581,3,,6,18,7,5,2,6,35,81,22
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001591,4,,15,22,0,13,3,5,28,60,21
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001601,5,,14,30,6,10,6,7,16,54,21
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001611,6,,10,11,3,4,3,8,28,76,10
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001621,7,,16,16,3,3,5,3,40,60,8
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001631,8,,10,19,6,4,1,5,37,54,12
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001641,9,,14,24,4,3,5,7,34,51,10
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001651,10,,11,18,5,6,7,3,24,77,13
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001661,11,,16,11,6,5,1,8,23,59,15
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001671,12,,9,16,5,7,2,9,35,59,17
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001681,13,,8,24,8,6,3,6,30,52,20
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001691,14,,11,14,4,4,8,8,21,51,21
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001701,15,,9,24,6,8,0,7,34,54,14
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001711,16,,11,16,5,7,5,6,28,67,20
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001721,17,,9,11,5,9,5,5,32,66,24
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001731,18,,11,15,12,8,7,4,34,44,17
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001741,19,,14,17,1,3,7,4,16,72,20
