CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,UN,UNPA,NGP,MTS,UNIDOS-,PATRIA-UNIDOS,LIBRE,SOLUCIONES-CON-TODOS,PDC,A-UPP,POKUY,FRI,APB-SUMATE,U.P.C,CREE,UNE,FAP,F-S,ARI,TU,PPS
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002737,1,,,16,8,8,5,14,7,5,9,,5,101,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002747,2,,,7,5,4,10,16,7,1,16,,1,93,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002757,3,,,8,3,5,4,22,9,2,15,,7,74,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002767,4,,,7,9,8,8,12,6,3,18,,3,62,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002777,5,,,9,8,6,12,18,7,1,19,,1,80,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002787,6,,,9,6,8,8,15,15,2,10,,1,82,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002797,7,,,8,7,6,4,15,3,1,10,,2,88,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002807,8,,,6,9,8,9,21,8,4,14,,0,100,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002817,9,,,9,5,5,7,15,11,3,8,,1,65,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002827,10,,,11,2,12,7,6,8,2,7,,5,95,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002837,11,,,10,5,4,9,14,7,0,9,,2,75,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002847,12,,,10,1,8,11,10,4,4,11,,4,74,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002857,13,,,9,2,9,7,18,9,4,11,,2,97,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002867,14,,,9,4,4,7,13,12,1,14,,1,83,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002877,15,,,9,0,10,8,16,6,4,14,,2,82,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002887,16,,,17,7,7,6,20,9,3,8,,4,86,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001567,1,,,17,7,4,10,14,9,4,12,,0,66,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001577,2,,,7,7,6,9,12,8,9,24,,4,92,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001587,3,,,8,8,6,7,20,3,4,22,,0,80,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001597,4,,,11,5,3,9,13,11,4,21,,2,68,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001607,5,,,11,3,6,12,12,5,4,16,,1,68,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001617,6,,,6,3,6,11,7,5,0,19,,5,79,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001627,7,,,9,3,3,10,9,3,5,28,,4,61,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001637,8,,,5,6,5,11,14,10,2,29,,2,61,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001647,9,,,8,4,3,7,7,12,3,24,,3,65,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001657,10,,,6,5,6,10,16,6,5,16,,3,80,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001667,11,,,8,2,10,10,12,7,1,25,,1,69,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001677,12,,,14,3,9,8,14,2,2,31,,3,65,,,,,,,,
