CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,SOLUCIONES-CON-TODOS,PATRIA-UNIDOS,LIBRE,MTS,UNIDOS-,NGP,PDC,FRI,A-UPP,APB-SUMATE
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002731,1,3,13,7,38,2,8,1,5,18,99
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002741,2,4,15,12,38,2,1,1,1,21,96
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002751,3,6,9,10,46,2,4,1,5,31,77
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002761,4,6,12,4,38,8,4,0,4,51,70
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002771,5,5,11,12,37,4,7,0,1,32,92
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002781,6,3,17,5,36,6,7,2,2,23,92
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002791,7,3,17,13,34,5,4,1,5,31,70
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002801,8,4,10,13,39,7,9,1,1,31,86
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002811,9,1,17,10,44,2,3,4,1,17,79
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002821,10,4,16,9,35,6,7,1,2,30,93
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002831,11,3,20,9,42,5,8,3,2,18,80
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002841,12,3,9,12,41,3,9,2,1,28,88
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002851,13,3,19,11,37,8,8,1,0,21,93
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002861,14,6,15,4,55,3,4,1,3,32,66
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002871,15,2,16,10,27,3,8,1,1,34,94
1,Cercado,1,Cochabamba,821,Cochabamba,101,Escuela IV Centenario,3002881,16,2,14,14,36,3,9,3,1,31,105
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001561,1,3,14,16,22,7,11,4,3,32,77
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001571,2,7,11,7,29,6,8,5,3,40,80
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001581,3,2,6,19,16,8,5,2,5,24,64
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001591,4,8,16,10,33,3,10,1,2,38,63
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001601,5,5,11,24,34,5,12,3,2,32,61
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001611,6,2,11,9,22,3,6,4,3,37,84
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001621,7,5,16,4,29,4,7,3,3,58,60
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001631,8,7,7,6,36,4,6,0,1,43,68
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001641,9,9,15,4,28,1,4,2,1,53,66
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001651,10,3,12,8,27,2,7,5,3,41,88
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001661,11,5,17,9,27,3,8,3,4,35,68
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001671,12,4,8,6,28,5,7,1,4,54,71
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001681,13,4,9,10,34,6,9,0,2,43,66
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001691,14,2,12,11,20,7,7,4,5,40,65
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001701,15,8,9,7,33,5,8,1,4,46,63
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001711,16,7,11,13,27,9,7,1,1,36,75
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001721,17,4,10,20,27,3,7,2,2,51,74
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001731,18,7,5,7,29,13,9,2,2,49,54
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001741,19,3,13,12,31,4,6,4,2,34,83
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001751,20,8,17,10,38,3,6,3,3,44,66
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001761,21,2,15,19,34,4,6,1,4,36,79
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001771,22,5,10,9,29,2,12,2,2,32,81
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001781,23,4,12,8,31,4,10,2,5,27,78
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001791,24,8,9,7,28,4,5,2,3,56,62
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001801,25,4,8,13,39,3,6,2,6,41,73
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001811,26,8,13,15,43,5,6,3,1,44,57
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001821,27,3,15,12,23,8,12,5,3,42,72
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001831,28,2,17,17,36,5,6,1,0,31,82
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001841,29,2,22,14,29,3,5,1,4,25,75
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001851,30,6,9,10,34,7,7,3,3,34,76
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001861,31,4,11,9,39,1,10,1,4,40,69
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001871,32,3,16,16,33,6,7,2,0,34,82
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001881,33,2,18,12,28,5,11,2,2,38,79
1,Cercado,1,Cochabamba,821,Cochabamba,102,Escuela Central Taquiña C,3001891,34,0,11,3,26,3,5,3,1,19,47
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001381,1,3,15,8,29,1,3,4,1,24,65
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001391,2,3,10,12,33,2,13,3,2,37,81
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001401,3,4,19,8,50,2,5,1,4,26,78
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001411,4,4,12,10,32,4,14,2,4,35,75
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001421,5,4,9,7,48,2,7,3,2,36,69
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001431,6,3,16,5,49,2,7,2,2,32,90
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001441,7,4,12,6,47,4,6,2,4,39,64
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001451,8,3,13,4,46,4,13,3,2,30,86
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001461,9,1,21,4,62,3,9,3,6,28,59
