CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,PDC,VENCEREMOS,JALLALLA LP,IH,PATRIA-SOL,SPBC,ASLP,A-UPP,UPC,LIBRE,NGP,MTS,FRI,M.P.S.,ASP,VIDA,APB-SUMATE
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012211,1,8,18,6,25,37,2,25,5,2,5,5,8,4,8,4,6,7
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012221,2,5,9,7,18,42,13,23,1,3,16,4,8,7,5,4,2,3
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012231,3,3,17,5,26,47,8,15,3,1,13,8,6,5,4,1,3,4
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012241,4,10,16,7,38,34,6,10,4,2,11,4,6,7,2,2,5,4
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012251,5,3,7,1,36,24,4,14,2,3,17,2,9,7,12,5,4,9
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012261,6,8,23,2,30,37,8,12,0,4,13,8,5,4,7,1,5,4
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012271,7,10,18,5,39,54,0,16,1,3,13,3,7,5,3,4,2,4
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012281,8,2,10,5,30,51,8,15,2,5,17,2,3,4,8,6,5,7
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012291,9,3,12,17,31,38,5,14,2,6,14,2,8,3,2,1,2,4
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012301,10,9,18,3,29,40,6,26,6,3,24,2,6,9,5,2,2,4
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012311,11,7,9,6,27,33,6,20,3,3,14,2,3,5,6,4,5,9
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012321,12,3,16,8,22,48,4,19,6,0,14,4,5,3,0,6,2,5
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012331,13,4,14,3,31,32,8,18,7,1,19,2,8,1,0,4,0,8
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012341,14,4,13,8,26,39,7,15,2,3,13,9,5,6,7,4,4,4
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012351,15,3,11,5,31,40,8,11,4,5,17,5,9,3,3,1,6,6
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012361,16,7,20,4,19,53,3,14,1,1,20,1,3,9,5,3,3,3
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012371,17,4,15,3,19,46,10,16,3,3,15,5,4,7,2,5,2,5
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012381,18,4,17,5,25,47,10,12,4,2,18,1,5,8,4,2,3,8
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012391,19,9,22,5,20,32,7,14,2,4,10,2,9,6,7,0,4,2
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012401,20,0,0,0,1,11,1,2,1,0,0,2,0,0,0,0,1,1
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,102,U. E. Luis Ernest CBN A,2012411,1,6,25,8,19,39,8,15,4,3,15,7,8,7,3,3,4,5
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,102,U. E. Luis Ernest CBN A,2012421,2,8,21,0,23,41,11,10,5,2,17,4,6,7,5,6,1,2
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,102,U. E. Luis Ernest CBN A,2012431,3,3,14,4,27,34,8,11,3,3,17,3,5,7,7,4,6,5
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,102,U. E. Luis Ernest CBN A,2012441,4,10,16,4,20,49,4,15,4,4,20,4,4,6,1,3,2,5
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,102,U. E. Luis Ernest CBN A,2012451,5,6,12,5,28,37,3,19,6,1,20,8,4,6,7,2,1,4
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,102,U. E. Luis Ernest CBN A,2012461,6,5,16,8,20,27,10,14,4,1,13,4,9,4,7,3,3,5
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,102,U. E. Luis Ernest CBN A,2012471,7,7,20,5,18,37,6,8,5,4,26,6,9,5,5,2,4,5
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,102,U. E. Luis Ernest CBN A,2012481,8,5,13,5,27,38,2,14,7,6,14,4,8,8,13,4,7,3
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,102,U. E. Luis Ernest CBN A,2012491,9,3,15,5,20,36,1,26,9,6,20,3,4,3,3,4,3,5
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,102,U. E. Luis Ernest CBN A,2012501,10,1,7,6,20,45,6,14,4,1,18,9,9,7,2,3,3,2
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,102,U. E. Luis Ernest CBN A,2012511,11,0,2,1,1,6,1,0,0,0,3,1,1,1,0,0,0,2
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012521,1,5,17,3,29,35,3,17,3,1,11,3,5,3,6,3,7,6
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012531,2,6,12,2,29,44,4,19,1,3,10,5,11,9,5,6,3,2
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012541,3,10,9,5,28,26,9,13,3,4,14,4,5,3,5,2,9,8
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012551,4,6,17,5,28,31,4,11,4,1,16,3,9,3,10,3,3,5
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012561,5,2,11,5,31,27,7,10,4,4,17,6,9,9,6,4,3,4
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012571,6,3,14,7,15,36,1,10,2,0,20,0,10,2,0,6,2,4
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012581,7,4,17,4,20,28,14,13,8,4,16,4,7,5,5,2,4,2
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012591,8,5,13,7,33,29,9,11,4,3,13,7,7,4,4,2,2,9
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012601,9,5,11,4,23,37,7,12,4,1,17,7,8,2,8,2,2,7
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012611,10,5,13,4,19,35,4,14,3,4,18,11,8,5,3,5,5,3
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012621,11,4,19,4,16,36,9,11,8,3,13,9,9,5,7,0,3,6
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012631,12,3,22,5,24,29,11,8,4,3,11,5,6,3,1,3,4,7
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,U. E. Litoral A,2012641,13,4,18,2,33,32,6,7,1,5,16,3,9,7,5,3,1,9
