CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,PDC,VENCEREMOS,JALLALLA LP,IH,PATRIA-SOL,MTS,FRI,SPBC,ASLP,APB-SUMATE,M.P.S.,A-UPP,UPC,ASP,VIDA,LIBRE,NGP
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012211,1,3,22,8,28,56,17,1,1,24,6,2,1,3,3,6,8,1
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012221,2,3,16,7,21,61,11,1,7,26,0,1,1,5,4,4,22,8
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012231,3,1,25,8,31,58,12,2,5,18,3,7,2,0,2,4,11,3
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012241,4,10,24,3,30,55,23,2,4,12,3,1,2,1,2,5,15,4
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012251,5,0,10,5,37,42,10,4,3,17,9,4,2,9,5,3,14,4
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012261,6,5,27,5,24,56,10,1,2,14,3,2,0,5,6,6,11,8
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012271,7,8,23,4,34,71,9,0,1,16,6,3,1,6,1,4,14,2
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012281,8,2,17,9,28,58,6,1,1,18,5,5,0,9,8,6,15,5
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012291,9,3,16,17,26,48,13,1,2,17,2,1,1,10,2,1,17,5
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Escuela Industrial Superior Pedro Domingo Murillo,2012301,10,3,22,1,28,55,7,2,5,33,8,4,2,4,3,2,20,3
