CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,InscritosHabilitados,VotoValido,VotoBlanco,VotoNulo,VotoEmitido,VotoValidoReal,VotoEmitidoReal
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003257,1,240,179,11,26,216,179,216
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003267,2,240,165,8,40,213,165,213
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003277,3,240,188,9,22,219,188,219
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003287,4,240,180,8,29,217,180,217
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003297,5,240,181,6,24,211,181,211
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003307,6,240,190,4,25,219,190,219
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003317,7,240,183,4,26,213,183,213
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003327,8,23,18,0,3,21,18,21
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003447,1,240,177,12,20,209,177,209
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003457,2,240,178,8,22,208,178,208
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003467,3,240,173,22,26,221,173,221
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003477,4,240,176,12,28,216,176,216
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003487,5,240,178,11,34,223,178,223
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003497,6,240,164,18,25,207,164,207
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003507,7,240,176,11,23,210,176,210
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003517,8,240,163,10,30,203,163,203
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003527,9,240,174,17,22,213,174,213
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003537,10,173,124,15,10,149,124,149
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002187,1,240,164,14,41,219,164,219
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002197,2,240,179,8,33,220,179,220
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002207,3,240,189,5,17,211,189,211
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002217,4,240,179,13,24,216,179,216
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002227,5,240,183,5,29,217,183,217
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002237,6,240,178,7,27,212,178,212
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002247,7,240,187,8,23,218,187,218
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002257,8,240,197,4,16,217,197,217
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002267,9,240,176,9,30,215,176,215
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002277,10,240,172,10,23,205,172,205
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002287,11,240,167,6,35,208,167,208
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002297,12,240,181,6,24,211,181,211
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002307,13,240,151,8,57,216,151,216
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002317,14,240,180,15,29,224,180,224
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002327,15,240,171,12,34,217,171,217
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002337,16,240,183,9,23,215,183,215
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002347,17,233,174,9,29,212,174,212
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006127,1,240,194,11,17,222,194,222
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006137,2,240,195,6,20,221,195,221
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006147,3,240,209,6,15,230,209,230
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006157,4,240,195,7,25,227,195,227
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006167,5,240,202,7,16,225,202,225
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006177,6,240,194,10,12,216,194,216
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006187,7,240,152,7,54,213,152,213
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006197,8,240,193,8,17,218,193,218
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006207,9,240,190,8,24,222,190,222
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006217,10,240,193,22,5,220,193,220
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006227,11,240,199,5,21,225,199,225
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006237,12,51,40,2,3,45,40,45
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003887,1,240,180,5,25,210,180,210
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003897,2,240,179,6,22,207,179,207
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003907,3,240,191,7,20,218,191,218
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003917,4,240,187,4,22,213,187,213
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003927,5,240,190,8,20,218,190,218
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003937,6,240,194,2,15,211,194,211
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003947,7,240,186,6,17,209,186,209
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003957,8,229,189,4,11,204,189,204
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004497,1,240,178,8,27,213,178,213
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004507,2,240,181,10,26,217,181,217
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004517,3,240,190,10,21,221,190,221
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004527,4,240,185,12,23,220,185,220
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004537,5,240,190,4,20,214,190,214
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004547,6,240,183,9,31,223,183,223
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004557,7,240,180,14,29,223,180,223
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004567,8,240,179,17,24,220,179,220
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004577,9,240,185,11,17,213,185,213
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004587,10,240,171,14,28,213,171,213
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004597,11,240,170,8,34,212,170,212
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004607,12,240,182,12,23,217,182,217
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004617,13,240,192,5,23,220,192,220
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004627,14,240,177,5,39,221,177,221
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004637,15,240,172,13,32,217,172,217
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004647,16,240,203,3,20,226,203,226
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004657,17,240,177,8,26,211,177,211
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004667,18,240,187,12,19,218,187,218
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004677,19,240,169,9,41,219,169,219
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004687,20,240,203,10,14,227,203,227
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004697,21,47,38,0,7,45,38,45
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000537,1,240,183,5,27,215,183,215
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000547,2,240,196,3,20,219,196,219
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000557,3,240,189,7,20,216,189,216
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000567,4,240,191,0,23,214,191,214
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000577,5,47,38,1,3,42,38,42
1,Cercado,1,Oruro,2059,Oruro,86,Colegio Jesus Maria Fe y Alegria,4000587,1,240,213,2,12,227,213,227
1,Cercado,1,Oruro,2059,Oruro,86,Colegio Jesus Maria Fe y Alegria,4000597,2,240,203,4,9,216,203,216
1,Cercado,1,Oruro,2059,Oruro,86,Colegio Jesus Maria Fe y Alegria,4000607,3,240,203,5,15,223,203,223
1,Cercado,1,Oruro,2059,Oruro,86,Colegio Jesus Maria Fe y Alegria,4000617,4,240,197,2,14,213,197,213
1,Cercado,1,Oruro,2059,Oruro,86,Colegio Jesus Maria Fe y Alegria,4000627,5,240,186,12,15,213,186,213
1,Cercado,1,Oruro,2059,Oruro,86,Colegio Jesus Maria Fe y Alegria,4000637,6,160,131,3,14,148,131,148
