CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,AORA,MTS,JACHAJAKISASOLFESORC,PDC,A-UPP,P.P.,NGP,LIBRE,SOMOS,JACHA MARKA T.C.A.,PATRIA-ORURO,S.A.M. CHALLAPATA,APB-SUMATE,SUMA,UQ,IOTAYAQUIRAMD,FRI,LEAL,UN,MCSFA
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003257,1,9,12,36,0,9,2,38,10,22,,10,,0,,,,3,19,4,5
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003267,2,6,10,35,0,12,1,38,1,21,,11,,0,,,,3,13,7,7
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003277,3,13,20,42,1,7,0,36,9,17,,13,,0,,,,0,14,3,13
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003287,4,12,24,39,2,8,1,38,6,16,,9,,0,,,,2,14,4,5
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003297,5,12,16,44,1,8,2,43,3,17,,13,,0,,,,0,9,4,9
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003307,6,10,18,39,0,8,1,54,10,15,,13,,0,,,,0,8,4,10
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003317,7,15,20,32,2,4,1,48,9,13,,8,,0,,,,1,17,1,12
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003327,8,0,0,6,0,0,0,3,3,2,,0,,0,,,,0,2,1,1
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003447,1,12,17,28,1,6,1,53,7,19,,14,,0,,,,1,6,3,9
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003457,2,17,18,22,2,6,1,67,5,18,,4,,0,,,,2,8,5,3
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003467,3,13,18,26,2,8,4,62,4,13,,10,,0,,,,1,6,3,3
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003477,4,13,16,42,1,8,0,55,8,13,,7,,0,,,,1,4,2,6
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003487,5,14,21,27,4,6,2,57,6,18,,7,,0,,,,1,5,2,8
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003497,6,15,21,24,2,8,1,52,2,13,,8,,0,,,,2,10,3,3
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003507,7,11,19,28,0,6,3,47,9,18,,16,,0,,,,2,8,5,4
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003517,8,16,18,26,1,5,0,62,0,12,,6,,0,,,,1,9,2,5
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003527,9,20,26,29,1,4,0,53,3,15,,8,,0,,,,1,10,1,3
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003537,10,10,10,26,1,4,2,47,2,7,,5,,0,,,,1,6,2,1
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002187,1,3,20,24,2,11,3,57,7,12,,7,,0,,,,2,10,3,3
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002197,2,7,10,37,2,6,0,62,0,19,,7,,0,,,,2,14,2,11
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002207,3,7,14,58,1,6,0,41,16,11,,10,,0,,,,1,10,6,8
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002217,4,9,18,28,2,3,2,68,4,14,,16,,0,,,,2,6,3,4
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002227,5,13,23,38,2,8,1,55,2,12,,10,,0,,,,0,10,3,6
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002237,6,12,23,21,0,6,0,58,8,15,,15,,0,,,,1,4,2,13
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002247,7,7,12,37,3,6,2,58,11,10,,16,,0,,,,0,12,5,8
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002257,8,9,23,33,1,4,0,63,7,16,,20,,0,,,,1,15,2,3
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002267,9,8,15,32,1,12,0,52,5,21,,9,,0,,,,0,14,1,6
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002277,10,3,12,30,1,6,2,61,4,15,,6,,0,,,,3,12,6,11
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002287,11,12,16,25,0,5,1,54,5,16,,4,,0,,,,5,11,6,7
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002297,12,2,14,37,2,8,1,54,10,7,,11,,0,,,,2,15,8,10
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002307,13,6,16,24,2,9,0,51,3,7,,13,,0,,,,0,9,5,6
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002317,14,7,11,1,0,10,16,61,2,35,,10,,0,,,,1,7,7,12
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002327,15,3,17,33,1,7,1,58,5,19,,5,,0,,,,4,3,7,8
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002337,16,6,17,25,1,9,5,61,7,22,,10,,0,,,,2,6,7,5
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002347,17,10,14,33,2,6,1,49,8,14,,7,,0,,,,2,14,4,10
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006127,1,4,9,39,0,10,1,56,12,8,,18,,0,,,,3,8,7,19
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006137,2,3,10,45,0,11,4,51,6,15,,19,,0,,,,4,7,9,11
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006147,3,10,9,29,1,9,2,75,8,19,,14,,0,,,,2,11,4,16
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006157,4,6,17,42,1,12,0,42,10,15,,21,,0,,,,3,8,3,15
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006167,5,6,11,54,0,12,7,38,6,14,,12,,0,,,,3,15,6,18
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006177,6,5,5,41,2,16,3,51,7,7,,18,,0,,,,4,11,7,17
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006187,7,3,8,29,1,9,2,44,3,11,,15,,0,,,,4,10,6,7
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006197,8,13,7,34,2,5,3,56,9,26,,15,,0,,,,2,9,5,7
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006207,9,0,7,46,4,13,4,51,9,12,,12,,0,,,,0,11,10,11
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006217,10,4,12,43,0,4,1,44,8,23,,18,,0,,,,3,9,4,20
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006227,11,3,14,42,1,12,2,54,13,13,,25,,0,,,,0,8,5,7
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006237,12,0,0,13,0,3,0,9,1,1,,0,,0,,,,0,8,1,4
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003887,1,3,7,30,2,9,2,72,8,16,,14,,0,,,,1,5,4,7
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003897,2,2,10,27,3,6,3,84,4,15,,9,,0,,,,0,7,2,7
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003907,3,1,19,27,1,10,4,67,11,20,,10,,0,,,,2,9,3,7
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003917,4,2,10,34,0,10,3,62,5,22,,13,,0,,,,1,12,5,8
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003927,5,8,10,32,0,7,3,66,4,32,,13,,0,,,,3,9,0,3
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003937,6,6,7,34,0,8,4,68,8,16,,12,,0,,,,1,12,4,14
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003947,7,8,11,26,1,8,2,75,8,13,,12,,0,,,,2,10,4,6
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003957,8,5,13,29,2,7,3,69,12,20,,13,,0,,,,2,5,2,7
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004497,1,5,8,37,2,6,2,64,1,15,,13,,0,,,,2,12,3,8
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004507,2,4,8,42,2,6,3,58,12,18,,10,,0,,,,1,6,7,4
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004517,3,6,6,50,2,4,3,58,3,16,,7,,0,,,,1,13,9,12
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004527,4,8,14,38,1,7,4,50,8,12,,7,,0,,,,1,11,7,17
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004537,5,10,9,29,0,7,0,76,2,15,,13,,0,,,,2,9,6,12
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004547,6,4,9,34,1,7,3,72,3,17,,6,,0,,,,3,13,3,8
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004557,7,4,8,36,3,8,1,63,10,6,,13,,0,,,,2,8,4,14
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004567,8,4,15,26,2,6,1,63,6,19,,10,,0,,,,2,11,4,10
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004577,9,6,11,37,2,9,6,55,6,15,,8,,0,,,,0,17,5,8
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004587,10,7,5,34,3,4,2,53,4,17,,8,,0,,,,1,17,6,10
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004597,11,7,8,33,1,13,3,52,3,13,,14,,0,,,,1,16,2,4
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004607,12,6,2,36,2,5,3,70,6,16,,10,,0,,,,1,13,5,7
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004617,13,6,15,27,0,10,2,72,7,12,,11,,0,,,,1,12,4,13
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004627,14,2,7,33,3,5,1,59,7,21,,2,,0,,,,2,18,4,13
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004637,15,5,7,49,1,9,1,52,8,9,,9,,0,,,,1,11,1,9
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004647,16,4,16,42,0,9,2,67,6,21,,10,,0,,,,1,12,7,6
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004657,17,3,7,30,1,8,2,57,6,19,,10,,0,,,,0,19,5,10
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004667,18,4,10,40,0,6,1,59,3,23,,14,,0,,,,1,10,7,9
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004677,19,3,7,38,1,7,1,56,6,19,,10,,0,,,,0,11,6,4
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004687,20,7,11,42,1,10,3,63,13,11,,10,,0,,,,2,16,3,11
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004697,21,1,4,9,0,4,0,4,4,3,,3,,0,,,,0,0,0,6
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000537,1,3,6,46,0,12,2,36,16,6,,15,,0,,,,2,14,12,13
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000547,2,9,4,48,0,5,1,47,17,14,,15,,0,,,,0,15,16,5
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000557,3,7,4,49,2,15,0,46,8,11,,8,,0,,,,0,9,21,9
