CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,InscritosHabilitados,VotoValido,VotoBlanco,VotoNulo,VotoEmitido,VotoValidoReal,VotoEmitidoReal
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003251,1,240,117,66,33,216,117,216
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003261,2,240,119,70,24,213,119,213
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003271,3,240,95,80,44,219,95,219
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003281,4,240,109,86,22,217,109,217
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003291,5,240,93,80,38,211,93,211
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003301,6,240,125,75,19,219,125,219
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003311,7,240,125,70,18,213,125,213
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003321,8,23,13,5,3,21,13,21
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003441,1,240,118,71,20,209,118,209
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003451,2,240,120,66,22,208,120,208
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003461,3,240,105,97,19,221,105,221
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003471,4,240,128,72,16,216,128,216
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003481,5,240,117,81,25,223,117,223
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003491,6,240,94,84,29,207,94,207
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003501,7,240,117,73,20,210,117,210
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003511,8,240,117,71,15,203,117,203
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003521,9,240,110,86,17,213,110,213
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003531,10,173,91,51,7,149,91,149
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002181,1,240,111,73,35,219,111,219
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002191,2,240,124,73,23,220,124,220
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002201,3,240,125,74,12,211,125,211
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002211,4,240,112,72,32,216,112,216
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002221,5,240,121,71,25,217,121,217
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002231,6,240,107,81,24,212,107,212
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002241,7,240,122,74,24,220,122,220
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002251,8,240,145,51,21,217,145,217
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002261,9,240,126,66,23,215,126,215
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002271,10,240,118,74,13,205,118,205
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002281,11,240,102,79,27,208,102,208
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002291,12,240,134,56,21,211,134,211
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002301,13,240,115,60,40,215,115,215
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002311,14,240,134,68,22,224,134,224
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002321,15,240,102,83,32,217,102,217
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002331,16,240,117,77,21,215,117,215
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002341,17,233,112,74,26,212,112,212
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006121,1,240,138,71,13,222,138,222
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006131,2,240,124,72,25,221,124,221
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006141,3,240,130,83,17,230,130,230
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006151,4,240,137,69,21,227,137,227
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006161,5,240,131,70,24,225,131,225
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006171,6,240,133,56,27,216,133,216
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006181,7,240,100,72,41,213,100,213
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006191,8,240,127,69,22,218,127,218
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006201,9,240,132,71,19,222,132,222
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006211,10,240,130,53,37,220,130,220
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006221,11,240,142,61,22,225,142,225
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006231,12,51,24,15,6,45,24,45
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003881,1,240,130,57,22,209,130,209
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003891,2,240,118,68,21,207,118,207
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003901,3,240,130,59,29,218,130,218
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003911,4,240,143,49,21,213,143,213
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003921,5,240,140,65,13,218,140,218
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003931,6,240,143,54,14,211,143,211
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003941,7,240,126,71,12,209,126,209
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003951,8,229,144,49,11,204,144,204
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004491,1,240,121,77,15,213,121,213
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004501,2,240,133,72,12,217,133,217
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004511,3,240,125,71,25,221,125,221
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004521,4,240,130,64,26,220,130,220
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004531,5,240,124,80,10,214,124,214
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004541,6,240,106,88,29,223,106,223
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004551,7,240,122,76,25,223,122,223
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004561,8,240,113,79,27,219,113,219
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004571,9,240,130,58,25,213,130,213
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004581,10,240,113,74,26,213,113,213
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004591,11,240,115,66,31,212,115,212
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004601,12,240,110,77,30,217,110,217
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004611,13,240,126,67,27,220,126,220
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004621,14,240,124,57,40,221,124,221
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004631,15,240,118,76,23,217,118,217
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004641,16,240,134,71,21,226,134,226
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004651,17,240,127,53,31,211,127,211
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004661,18,240,116,75,27,218,116,218
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004671,19,240,125,68,26,219,125,219
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004681,20,240,145,58,24,227,145,227
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004691,21,47,26,14,5,45,26,45
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000531,1,240,134,58,23,215,134,215
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000541,2,240,106,64,49,219,106,219
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000551,3,240,120,63,33,216,120,216
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000561,4,240,122,64,28,214,122,214
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000571,5,47,23,12,7,42,23,42
