CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,AORA,MTS,JACHAJAKISASOLFESORC,PDC,A-UPP,NGP,LIBRE,SOMOS,JACHA MARKA T.C.A.,PATRIA-ORURO,P.P.,S.A.M. CHALLAPATA,APB-SUMATE,SUMA,UQ,IOTAYAQUIRAMD,FRI,LEAL,UN,MCSFA
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003257,1,9,8,25,2,4,19,13,21,,4,1,,3,,,,0,9,3,10
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003267,2,5,6,23,0,8,21,3,28,,12,1,,1,,,,2,3,9,4
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003277,3,7,10,16,4,7,21,13,26,,9,1,,1,,,,2,5,3,11
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003287,4,8,8,26,2,5,16,8,19,,5,2,,0,,,,2,7,4,2
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003297,5,6,10,33,1,4,18,8,15,,11,0,,0,,,,0,3,2,11
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003307,6,9,7,22,4,5,33,14,21,,8,4,,0,,,,1,3,3,10
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003317,7,10,12,17,2,4,30,7,24,,10,1,,0,,,,1,7,2,13
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003327,8,0,0,3,1,0,4,1,2,,0,0,,0,,,,0,2,2,1
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003447,1,9,12,15,2,7,39,4,15,,13,2,,1,,,,1,3,1,6
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003457,2,12,10,21,3,7,28,6,19,,3,0,,4,,,,2,4,6,7
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003467,3,12,12,3,2,6,31,2,23,,3,14,,8,,,,0,1,2,3
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003477,4,11,12,30,2,6,35,10,23,,3,0,,0,,,,2,1,2,6
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003487,5,11,6,19,6,3,33,6,24,,8,1,,1,,,,1,1,4,8
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003497,6,11,13,19,2,6,32,3,16,,6,0,,1,,,,0,6,1,2
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003507,7,8,13,19,0,6,24,11,23,,13,0,,0,,,,0,2,6,4
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003517,8,11,11,22,1,6,29,5,15,,8,1,,4,,,,1,1,0,5
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003527,9,17,13,18,4,4,28,5,13,,7,1,,2,,,,0,3,1,3
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003537,10,10,9,17,1,5,36,2,11,,4,1,,0,,,,0,4,1,1
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002187,1,3,7,18,5,5,29,14,21,,8,2,,0,,,,1,5,2,7
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002197,2,5,8,29,5,5,25,9,25,,8,2,,1,,,,1,7,1,12
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002207,3,5,10,37,5,3,20,19,17,,12,0,,4,,,,1,3,5,7
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002217,4,6,7,21,1,3,41,9,22,,12,1,,0,,,,1,3,2,4
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002227,5,7,13,19,4,8,30,6,21,,9,1,,0,,,,1,4,5,12
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002237,6,5,11,16,1,3,27,4,21,,8,1,,4,,,,1,2,2,10
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002247,7,5,7,30,4,5,29,13,16,,9,0,,2,,,,0,5,6,5
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002257,8,13,17,28,3,6,34,14,16,,17,1,,1,,,,2,5,1,3
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002267,9,6,10,26,1,10,30,9,19,,7,1,,0,,,,2,9,4,7
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002277,10,5,9,23,0,2,33,11,11,,10,3,,2,,,,2,7,5,12
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002287,11,2,9,15,2,3,23,7,30,,6,2,,3,,,,2,4,4,3
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002297,12,6,10,17,5,7,26,14,27,,10,2,,0,,,,1,3,6,13
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002307,13,3,9,20,3,8,30,11,14,,11,4,,0,,,,2,2,4,6
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002317,14,6,4,29,2,7,32,16,18,,8,2,,0,,,,0,4,5,12
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002327,15,5,14,17,2,5,34,10,18,,5,1,,0,,,,1,2,3,9
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002337,16,4,9,16,1,3,34,18,30,,8,3,,0,,,,0,5,1,5
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002347,17,4,9,30,2,5,22,19,19,,5,0,,0,,,,1,5,3,8
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006127,1,4,6,24,1,5,32,17,18,,12,2,,1,,,,1,4,7,15
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006137,2,6,7,22,1,5,25,11,24,,17,3,,0,,,,3,3,8,11
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006147,3,7,9,23,0,4,36,10,29,,11,3,,1,,,,1,8,8,12
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006157,4,4,6,30,2,6,25,11,19,,20,0,,2,,,,3,4,2,14
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006167,5,3,7,32,1,13,21,12,22,,8,4,,3,,,,1,6,3,13
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006177,6,3,4,32,6,16,24,9,11,,13,1,,2,,,,3,6,3,20
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006187,7,3,5,23,1,4,26,5,13,,12,1,,4,,,,1,2,5,5
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006197,8,13,5,20,2,5,27,12,30,,12,0,,1,,,,1,6,5,8
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006207,9,2,6,37,3,9,26,12,14,,7,3,,1,,,,0,6,9,11
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006217,10,1,5,27,2,7,26,16,22,,14,2,,3,,,,3,1,7,20
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006227,11,7,3,31,1,4,29,19,23,,21,2,,1,,,,0,4,8,9
1,Cercado,1,Oruro,2059,Oruro,82,Inst. De Aprendizaje Industrial   I.A.I.,4006237,12,0,1,10,1,1,4,2,1,,1,0,,0,,,,0,4,0,3
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003887,1,1,7,24,1,2,37,14,20,,11,2,,0,,,,1,3,2,11
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003897,2,20,15,6,5,3,0,0,4,,0,6,,5,,,,8,11,2,48
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003907,3,3,15,23,2,3,42,18,14,,9,3,,1,,,,2,6,2,8
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003917,4,1,7,25,1,6,42,11,17,,9,2,,1,,,,0,5,5,16
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003927,5,4,5,29,1,3,37,8,31,,11,2,,1,,,,1,2,2,5
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003937,6,5,4,28,2,6,37,12,23,,10,3,,0,,,,0,6,2,15
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003947,7,6,11,20,3,4,42,14,15,,10,1,,1,,,,1,4,2,4
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003957,8,6,6,26,3,5,41,17,23,,9,3,,0,,,,1,3,3,4
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004497,1,3,5,26,5,3,38,7,19,,9,1,,0,,,,3,9,3,7
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004507,2,6,5,23,4,6,37,16,26,,8,1,,2,,,,0,1,5,5
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004517,3,7,2,32,4,2,24,10,24,,11,2,,2,,,,1,8,6,13
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004527,4,9,9,26,1,9,24,11,14,,11,5,,2,,,,1,7,3,15
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004537,5,7,3,20,0,3,41,11,21,,11,0,,0,,,,4,6,6,9
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004547,6,1,8,25,2,4,36,6,16,,7,0,,0,,,,2,10,4,5
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004557,7,4,9,31,2,7,27,11,17,,13,0,,2,,,,3,1,4,11
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004567,8,4,7,15,2,8,35,14,18,,8,0,,1,,,,3,4,4,5
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004577,9,7,6,25,4,11,31,11,20,,9,4,,2,,,,0,9,4,8
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004587,10,6,4,22,4,2,22,7,24,,9,1,,4,,,,3,6,2,9
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004597,11,4,4,25,3,10,23,6,23,,9,1,,1,,,,1,9,1,5
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004607,12,9,1,27,1,4,35,13,17,,6,3,,1,,,,0,4,8,5
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004617,13,2,7,20,1,12,29,9,24,,11,3,,3,,,,2,4,2,12
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004627,14,0,3,20,3,8,30,16,20,,6,1,,2,,,,1,8,6,10
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004637,15,3,6,27,1,6,21,9,20,,8,1,,0,,,,2,7,2,14
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004647,16,6,10,30,2,4,43,9,20,,8,2,,2,,,,0,9,4,3
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004657,17,5,3,17,3,4,28,14,24,,14,1,,1,,,,1,9,5,12
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004667,18,2,6,27,2,3,28,4,25,,13,1,,1,,,,0,5,6,9
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004677,19,4,1,29,6,7,31,10,20,,7,1,,3,,,,0,3,7,6
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004687,20,12,10,32,2,5,33,14,16,,10,3,,2,,,,2,5,4,10
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004697,21,1,2,8,1,2,0,2,6,,3,1,,0,,,,0,0,0,2
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000537,1,4,5,28,0,9,22,21,14,,10,1,,0,,,,2,8,10,15
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000547,2,5,3,34,1,2,21,22,18,,12,2,,0,,,,0,9,12,14
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000557,3,3,5,28,2,9,22,15,18,,12,0,,2,,,,1,4,14,8
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000567,4,2,2,25,2,9,16,25,24,,11,1,,1,,,,4,6,16,12
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000577,5,1,0,4,1,1,7,6,3,,2,0,,0,,,,0,4,3,2
1,Cercado,1,Oruro,2059,Oruro,86,Colegio Jesus Maria Fe y Alegria,4000587,1,0,2,37,1,8,17,24,18,,20,0,,0,,,,1,8,27,11
1,Cercado,1,Oruro,2059,Oruro,86,Colegio Jesus Maria Fe y Alegria,4000597,2,1,3,33,2,6,23,23,22,,18,0,,3,,,,0,3,24,12
1,Cercado,1,Oruro,2059,Oruro,86,Colegio Jesus Maria Fe y Alegria,4000607,3,4,2,40,1,6,25,24,9,,13,2,,1,,,,1,3,26,13
1,Cercado,1,Oruro,2059,Oruro,86,Colegio Jesus Maria Fe y Alegria,4000617,4,6,2,41,3,8,14,9,13,,24,1,,0,,,,0,5,20,10
1,Cercado,1,Oruro,2059,Oruro,86,Colegio Jesus Maria Fe y Alegria,4000627,5,2,3,35,2,6,13,23,16,,13,0,,4,,,,3,7,19,8
1,Cercado,1,Oruro,2059,Oruro,86,Colegio Jesus Maria Fe y Alegria,4000637,6,1,2,21,6,4,15,20,11,,11,1,,3,,,,2,1,9,4
1,Cercado,1,Oruro,2059,Oruro,87,Col. Aniceto Arce,4000647,1,3,2,28,2,8,32,18,13,,17,0,,2,,,,1,7,11,8
