CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,InscritosHabilitados,VotoValido,VotoBlanco,VotoNulo,VotoEmitido,VotoValidoReal,VotoEmitidoReal
1,Nicolás Suárez,1,Cobija,2751,Nueva Esperanza,13,U.E. Nueva Esperanza,9000067,1,170,89,52,9,150,89,150
1,Nicolás Suárez,1,Cobija,2773,Cobija,3,U. E. Instituto Americano,9000777,1,240,142,39,18,199,142,199
1,Nicolás Suárez,1,Cobija,2773,Cobija,3,U. E. Instituto Americano,9000787,2,240,154,39,13,206,154,206
1,Nicolás Suárez,1,Cobija,2773,Cobija,3,U. E. Instituto Americano,9000797,3,240,140,42,16,198,140,198
1,Nicolás Suárez,1,Cobija,2773,Cobija,3,U. E. Instituto Americano,9000807,4,62,32,12,4,48,32,48
1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,9000817,1,240,128,45,19,192,128,192
1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,9000827,2,240,122,49,16,187,122,187
1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,9000837,3,240,106,48,22,176,106,176
1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,9000847,4,240,110,53,17,180,110,180
1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,9000857,5,92,49,18,4,71,49,71
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000217,1,240,100,64,24,188,100,188
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000227,2,240,115,52,22,189,115,189
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000237,3,240,102,67,11,180,102,180
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000247,4,240,117,58,14,189,117,189
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000257,5,240,111,54,18,183,111,183
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000267,6,240,102,62,19,183,102,183
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000277,7,240,106,68,20,194,106,194
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000287,8,240,117,50,12,179,117,179
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000297,9,240,122,51,16,189,122,189
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000307,10,240,109,60,11,180,109,180
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000317,11,158,82,37,13,132,82,132
1,Nicolás Suárez,1,Cobija,2773,Cobija,12,U.E. German Busch,9000017,1,240,103,56,30,189,103,189
