CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,LIBRE-PANDO,MDA,MTS,MNR,UPP,FRI,FSUTCP,APB-SUMATE,A-UPP,NGP,AAGP,FE
1,Nicolás Suárez,1,Cobija,2751,Nueva Esperanza,13,U.E. Nueva Esperanza,9000067,1,42,13,3,7,2,1,0,19,0,2,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,3,U. E. Instituto Americano,9000777,1,46,15,7,3,19,7,0,24,9,12,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,3,U. E. Instituto Americano,9000787,2,51,25,4,4,10,4,0,28,12,16,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,3,U. E. Instituto Americano,9000797,3,49,23,4,1,16,7,0,20,9,11,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,3,U. E. Instituto Americano,9000807,4,11,2,0,0,5,2,0,8,2,2,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,9000817,1,34,26,8,9,11,14,0,12,8,6,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,9000827,2,33,31,4,10,11,2,0,18,8,5,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,9000837,3,29,21,8,9,8,2,0,10,14,5,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,9000847,4,35,25,5,6,10,6,0,10,9,4,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,9000857,5,12,14,0,3,4,2,0,9,5,0,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000217,1,36,25,4,5,4,3,0,11,8,4,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000227,2,34,25,7,4,7,7,0,22,9,0,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000237,3,39,28,5,5,3,3,0,8,8,3,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000247,4,34,27,9,3,7,4,0,10,15,8,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000257,5,40,32,3,4,2,6,0,10,9,5,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000267,6,30,21,8,5,4,3,0,17,9,5,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000277,7,32,27,6,4,5,4,0,13,5,10,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000287,8,30,32,6,6,5,3,0,17,14,4,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000297,9,47,23,7,6,3,11,0,14,7,4,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000307,10,31,27,4,5,5,3,0,13,11,10,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000317,11,27,16,4,1,2,7,0,14,6,5,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,12,U.E. German Busch,9000017,1,33,26,4,3,8,0,0,22,5,2,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,12,U.E. German Busch,9000027,2,35,22,5,5,5,3,0,15,5,3,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,12,U.E. German Busch,9000037,3,32,23,4,3,5,1,0,24,6,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,12,U.E. German Busch,9000047,4,37,29,3,3,10,2,0,21,8,4,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,12,U.E. German Busch,9000057,5,25,14,4,3,5,2,0,17,3,4,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,13,(Cárcel) Cárcel Pública (Villa Busch),9000077,1,27,15,3,2,2,1,0,10,7,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,13,(Cárcel) Cárcel Pública (Villa Busch),9000087,2,14,22,6,0,5,4,0,17,6,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,13,(Cárcel) Cárcel Pública (Villa Busch),9000097,3,4,3,0,0,0,0,0,4,0,0,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,14,U.E. De Bella Vista,9000107,1,33,38,8,5,4,4,0,19,12,2,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,14,U.E. De Bella Vista,9000117,2,26,20,5,3,5,2,0,14,22,2,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,14,U.E. De Bella Vista,9000127,3,33,22,5,1,3,4,0,20,20,4,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,14,U.E. De Bella Vista,9000137,4,22,22,2,1,3,1,0,14,21,2,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,14,U.E. De Bella Vista,9000147,5,17,27,9,7,5,6,0,21,11,3,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,14,U.E. De Bella Vista,9000157,6,27,26,11,7,4,4,0,16,9,2,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,14,U.E. De Bella Vista,9000167,7,17,10,5,3,2,2,0,3,8,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,23,U. E. Vaca Diez (Intermedio),9000867,1,43,20,6,3,5,3,0,21,6,4,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,23,U. E. Vaca Diez (Intermedio),9000877,2,19,21,3,5,5,6,0,17,15,4,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,23,U. E. Vaca Diez (Intermedio),9000887,3,42,14,2,5,12,2,0,17,9,12,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,23,U. E. Vaca Diez (Intermedio),9000897,4,40,25,4,6,6,2,0,22,5,6,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,23,U. E. Vaca Diez (Intermedio),9000907,5,35,18,5,1,8,3,0,17,10,6,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,23,U. E. Vaca Diez (Intermedio),9000917,6,48,20,8,1,11,5,0,20,3,6,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,23,U. E. Vaca Diez (Intermedio),9000927,7,32,17,5,5,9,4,0,21,11,8,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,23,U. E. Vaca Diez (Intermedio),9000937,8,4,1,0,1,0,0,0,2,3,0,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9000947,1,38,15,3,7,10,6,0,16,14,5,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9000957,2,38,22,6,11,6,6,0,16,10,6,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9000967,3,25,19,8,4,2,9,0,20,4,0,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9000977,4,29,17,6,5,9,6,0,20,9,3,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9000987,5,39,15,1,3,8,2,0,20,15,4,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9000997,6,30,23,6,7,11,4,0,16,7,6,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9001007,7,21,20,9,10,2,0,0,17,8,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9001017,8,42,17,5,1,12,3,0,13,10,4,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9001027,9,35,17,9,2,6,9,0,17,12,8,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9001037,10,39,20,2,3,4,6,0,17,12,3,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9001047,11,40,32,5,6,8,2,0,15,6,6,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9001057,12,37,16,3,6,4,4,0,27,12,3,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9001067,13,16,13,4,1,7,4,0,12,14,3,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25029,U. E. Mariscal Sucre,9000327,1,27,27,13,5,4,3,0,14,13,4,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25029,U. E. Mariscal Sucre,9000337,2,33,32,4,4,7,4,0,8,8,6,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25029,U. E. Mariscal Sucre,9000347,3,25,26,6,6,3,5,0,14,19,2,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25029,U. E. Mariscal Sucre,9000357,4,45,21,5,5,11,4,0,11,10,6,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25029,U. E. Mariscal Sucre,9000367,5,27,27,7,7,6,5,0,15,18,5,,
