CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,UPP,MDA,MTS,NGP,LIBRE-PANDO,MNR,FSUTCP
1,Nicolás Suárez,1,Cobija,2751,Nueva Esperanza,13,U.E. Nueva Esperanza,9000061,1,6,13,11,21,66,16,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,3,U. E. Instituto Americano,9000771,1,11,28,15,4,99,7,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,3,U. E. Instituto Americano,9000781,2,19,39,19,5,108,3,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,3,U. E. Instituto Americano,9000791,3,12,30,11,2,104,8,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,3,U. E. Instituto Americano,9000801,4,7,2,4,2,25,3,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,9000811,1,10,32,21,8,78,7,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,9000821,2,6,34,14,5,83,4,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,9000831,3,10,30,13,6,63,7,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,9000841,4,10,25,17,5,76,3,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,9000851,5,10,10,2,1,38,3,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000211,1,8,44,13,6,76,8,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000221,2,19,35,10,5,71,12,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000231,3,10,34,5,4,77,9,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000241,4,14,45,13,7,71,8,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000251,5,7,33,7,4,87,4,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000261,6,7,28,14,7,75,6,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000271,7,7,32,17,7,85,5,0
