CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,InscritosHabilitados,VotoValido,VotoBlanco,VotoNulo,VotoEmitido,VotoValidoReal,VotoEmitidoReal
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003507,1,240,188,5,12,205,188,205
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003517,2,240,193,7,11,211,193,211
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003527,3,240,194,4,15,213,194,213
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003537,4,240,192,10,13,215,192,215
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003547,5,240,205,4,12,221,205,221
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003557,6,99,84,1,2,87,84,87
1,Tomás Frías,1,Potosí,1494,Potosí,2,Col. Carlos Medinaceli,5003567,1,240,189,5,16,210,189,210
1,Tomás Frías,1,Potosí,1494,Potosí,2,Col. Carlos Medinaceli,5003577,2,240,204,5,7,216,204,216
1,Tomás Frías,1,Potosí,1494,Potosí,2,Col. Carlos Medinaceli,5003587,3,240,199,5,8,212,199,212
1,Tomás Frías,1,Potosí,1494,Potosí,2,Col. Carlos Medinaceli,5003597,4,160,134,5,4,143,134,143
1,Tomás Frías,1,Potosí,1494,Potosí,4,Esc. Modesto Omiste,5003107,1,240,209,7,11,227,209,227
1,Tomás Frías,1,Potosí,1494,Potosí,4,Esc. Modesto Omiste,5003117,2,192,158,5,7,170,158,170
1,Tomás Frías,1,Potosí,1494,Potosí,5,Esc. 1ro de Abril,5003397,1,240,203,4,11,218,203,218
1,Tomás Frías,1,Potosí,1494,Potosí,5,Esc. 1ro de Abril,5003407,2,240,198,5,17,220,198,220
1,Tomás Frías,1,Potosí,1494,Potosí,5,Esc. 1ro de Abril,5003417,3,90,72,1,8,81,72,81
1,Tomás Frías,1,Potosí,1494,Potosí,7,U. E. Antonio Quijarro  A,5003127,1,240,192,8,21,221,192,221
1,Tomás Frías,1,Potosí,1494,Potosí,7,U. E. Antonio Quijarro  A,5003137,2,240,208,3,16,227,208,227
1,Tomás Frías,1,Potosí,1494,Potosí,7,U. E. Antonio Quijarro  A,5003147,3,29,27,0,0,27,27,27
1,Tomás Frías,1,Potosí,1494,Potosí,10,Coleg. Bancario,5002767,1,240,201,8,7,216,201,216
1,Tomás Frías,1,Potosí,1494,Potosí,10,Coleg. Bancario,5002777,2,240,196,3,17,216,196,216
1,Tomás Frías,1,Potosí,1494,Potosí,10,Coleg. Bancario,5002787,3,240,192,4,15,211,192,211
