CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,InscritosHabilitados,VotoValido,VotoBlanco,VotoNulo,VotoEmitido,VotoValidoReal,VotoEmitidoReal
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003501,1,240,121,69,15,205,121,205
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003511,2,240,135,64,12,211,135,211
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003521,3,240,128,61,24,213,128,213
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003531,4,240,131,71,13,215,131,215
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003541,5,240,139,70,12,221,139,221
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003551,6,99,60,23,4,87,60,87
1,Tomás Frías,1,Potosí,1494,Potosí,2,Col. Carlos Medinaceli,5003561,1,240,137,59,14,210,137,210
1,Tomás Frías,1,Potosí,1494,Potosí,2,Col. Carlos Medinaceli,5003571,2,240,158,48,10,216,158,216
1,Tomás Frías,1,Potosí,1494,Potosí,2,Col. Carlos Medinaceli,5003581,3,240,138,66,8,212,138,212
1,Tomás Frías,1,Potosí,1494,Potosí,2,Col. Carlos Medinaceli,5003591,4,160,79,54,10,143,79,143
1,Tomás Frías,1,Potosí,1494,Potosí,4,Esc. Modesto Omiste,5003101,1,240,138,75,15,228,138,228
1,Tomás Frías,1,Potosí,1494,Potosí,4,Esc. Modesto Omiste,5003111,2,192,104,60,6,170,104,170
1,Tomás Frías,1,Potosí,1494,Potosí,5,Esc. 1ro de Abril,5003391,1,240,149,58,11,218,149,218
1,Tomás Frías,1,Potosí,1494,Potosí,5,Esc. 1ro de Abril,5003401,2,240,126,71,23,220,126,220
1,Tomás Frías,1,Potosí,1494,Potosí,5,Esc. 1ro de Abril,5003411,3,90,42,29,10,81,42,81
1,Tomás Frías,1,Potosí,1494,Potosí,7,U. E. Antonio Quijarro  A,5003121,1,240,130,61,29,220,130,220
1,Tomás Frías,1,Potosí,1494,Potosí,7,U. E. Antonio Quijarro  A,5003131,2,240,141,70,15,226,141,226
1,Tomás Frías,1,Potosí,1494,Potosí,7,U. E. Antonio Quijarro  A,5003141,3,29,18,8,1,27,18,27
1,Tomás Frías,1,Potosí,1494,Potosí,10,Coleg. Bancario,5002761,1,240,120,88,8,216,120,216
1,Tomás Frías,1,Potosí,1494,Potosí,10,Coleg. Bancario,5002771,2,240,143,64,9,216,143,216
1,Tomás Frías,1,Potosí,1494,Potosí,10,Coleg. Bancario,5002781,3,240,131,68,12,211,131,211
1,Tomás Frías,1,Potosí,1494,Potosí,10,Coleg. Bancario,5002791,4,231,140,61,9,210,140,210
1,Tomás Frías,1,Potosí,1494,Potosí,11,U. E. San José  A,5003601,1,240,144,78,6,228,144,228
1,Tomás Frías,1,Potosí,1494,Potosí,11,U. E. San José  A,5003611,2,240,137,74,9,220,137,220
1,Tomás Frías,1,Potosí,1494,Potosí,11,U. E. San José  A,5003621,3,240,138,74,7,219,138,219
1,Tomás Frías,1,Potosí,1494,Potosí,11,U. E. San José  A,5003631,4,240,138,75,11,224,138,224
1,Tomás Frías,1,Potosí,1494,Potosí,11,U. E. San José  A,5003641,5,150,83,50,4,137,83,137
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002201,1,240,133,61,13,207,133,207
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002211,2,240,129,61,16,206,129,206
