CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,MTS,PATRIA-UNIDOS,A.S.,MNR,NGP,APP,LIBRE,DEMOCRATAS,A-UPP,APB-SUMATE,UN,CAOP,PDC
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003501,1,2,54,77,4,0,47,1,1,1,0,1,0,2
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003511,2,3,41,95,5,0,45,2,1,3,1,0,1,1
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003521,3,0,45,77,2,3,44,3,2,2,2,0,2,2
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003531,4,3,60,76,3,0,40,5,0,2,0,1,2,0
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003541,5,3,56,90,3,0,47,0,1,3,2,0,1,0
1,Tomás Frías,1,Potosí,1494,Potosí,1,U. E. Simón Rodríguez,5003551,6,2,17,43,1,0,12,2,0,3,2,0,0,0
1,Tomás Frías,1,Potosí,1494,Potosí,2,Col. Carlos Medinaceli,5003561,1,3,50,82,3,1,41,4,2,2,4,1,1,1
1,Tomás Frías,1,Potosí,1494,Potosí,2,Col. Carlos Medinaceli,5003571,2,3,43,97,7,2,43,4,0,1,1,2,0,1
1,Tomás Frías,1,Potosí,1494,Potosí,2,Col. Carlos Medinaceli,5003581,3,2,50,81,7,3,40,3,0,2,3,2,4,1
1,Tomás Frías,1,Potosí,1494,Potosí,2,Col. Carlos Medinaceli,5003591,4,1,26,56,3,3,34,0,3,0,2,0,2,1
1,Tomás Frías,1,Potosí,1494,Potosí,4,Esc. Modesto Omiste,5003101,1,1,51,82,4,3,49,6,0,4,2,1,3,0
1,Tomás Frías,1,Potosí,1494,Potosí,4,Esc. Modesto Omiste,5003111,2,1,36,68,2,3,41,2,1,1,1,1,2,1
1,Tomás Frías,1,Potosí,1494,Potosí,5,Esc. 1ro de Abril,5003391,1,3,46,91,3,4,45,2,1,3,4,2,0,1
1,Tomás Frías,1,Potosí,1494,Potosí,5,Esc. 1ro de Abril,5003401,2,0,39,89,4,1,45,5,1,4,3,1,1,5
1,Tomás Frías,1,Potosí,1494,Potosí,5,Esc. 1ro de Abril,5003411,3,1,12,35,0,0,20,1,0,2,0,1,0,0
1,Tomás Frías,1,Potosí,1494,Potosí,7,U. E. Antonio Quijarro  A,5003121,1,0,47,73,5,3,52,3,2,1,0,3,0,0
1,Tomás Frías,1,Potosí,1494,Potosí,7,U. E. Antonio Quijarro  A,5003131,2,1,52,85,10,0,48,2,3,2,6,0,0,0
1,Tomás Frías,1,Potosí,1494,Potosí,7,U. E. Antonio Quijarro  A,5003141,3,0,13,9,1,0,4,0,0,0,0,0,0,0
1,Tomás Frías,1,Potosí,1494,Potosí,10,Coleg. Bancario,5002761,1,3,65,68,2,1,58,1,2,0,0,0,1,1
1,Tomás Frías,1,Potosí,1494,Potosí,10,Coleg. Bancario,5002771,2,3,50,89,6,3,43,5,1,1,1,1,0,0
1,Tomás Frías,1,Potosí,1494,Potosí,10,Coleg. Bancario,5002781,3,1,48,73,8,0,39,2,1,6,3,4,3,1
1,Tomás Frías,1,Potosí,1494,Potosí,10,Coleg. Bancario,5002791,4,2,53,71,9,1,43,2,0,0,3,1,2,2
1,Tomás Frías,1,Potosí,1494,Potosí,11,U. E. San José  A,5003601,1,1,55,97,2,1,46,4,1,6,2,1,1,1
1,Tomás Frías,1,Potosí,1494,Potosí,11,U. E. San José  A,5003611,2,0,42,84,0,1,64,4,2,2,2,1,1,0
1,Tomás Frías,1,Potosí,1494,Potosí,11,U. E. San José  A,5003621,3,3,46,90,2,3,52,2,1,2,3,1,1,4
1,Tomás Frías,1,Potosí,1494,Potosí,11,U. E. San José  A,5003631,4,2,42,89,9,0,48,1,4,2,1,0,2,1
1,Tomás Frías,1,Potosí,1494,Potosí,11,U. E. San José  A,5003641,5,0,27,62,2,0,27,4,0,1,3,0,0,2
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002201,1,4,34,85,6,2,41,2,2,2,4,2,3,0
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002211,2,1,47,91,1,1,48,1,1,0,1,0,0,1
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002221,3,3,39,101,4,2,40,2,1,1,3,3,2,1
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002231,4,4,39,81,5,2,42,2,1,0,2,2,2,1
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002241,5,4,44,80,5,4,40,3,0,0,3,0,2,3
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002251,6,1,38,90,2,0,39,0,2,4,7,1,2,4
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002261,7,5,33,77,2,1,60,5,0,4,2,1,1,1
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002271,8,1,49,83,2,0,51,5,0,1,1,1,4,1
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002281,9,4,35,97,6,1,44,0,1,3,4,1,3,2
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002291,10,3,39,70,9,3,44,3,0,3,2,2,0,2
1,Tomás Frías,1,Potosí,1494,Potosí,12,Esc. Litoral,5002301,11,3,56,81,9,0,44,3,0,3,1,1,1,1
1,Tomás Frías,1,Potosí,1494,Potosí,13,Esc. Copacabana,5004241,1,4,35,100,3,0,47,2,1,1,3,1,3,1
1,Tomás Frías,1,Potosí,1494,Potosí,13,Esc. Copacabana,5004251,2,2,48,78,2,1,48,6,0,1,1,1,3,0
1,Tomás Frías,1,Potosí,1494,Potosí,13,Esc. Copacabana,5004261,3,1,39,107,1,3,37,1,1,0,2,1,0,0
1,Tomás Frías,1,Potosí,1494,Potosí,13,Esc. Copacabana,5004271,4,2,57,97,1,2,33,5,1,2,3,0,0,0
1,Tomás Frías,1,Potosí,1494,Potosí,13,Esc. Copacabana,5004281,5,2,53,91,2,4,32,2,0,2,4,3,2,0
1,Tomás Frías,1,Potosí,1494,Potosí,13,Esc. Copacabana,5004291,6,2,48,97,3,1,24,13,4,0,4,1,1,2
1,Tomás Frías,1,Potosí,1494,Potosí,13,Esc. Copacabana,5004301,7,0,2,15,1,0,1,1,0,0,0,0,0,0
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001161,1,5,41,84,2,5,49,2,1,1,6,0,1,1
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001171,2,2,56,93,3,0,37,0,1,2,1,1,0,3
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001181,3,1,41,94,1,0,48,2,1,5,2,1,0,0
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001191,4,1,33,91,3,2,50,2,1,6,0,0,3,1
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001201,5,3,36,105,0,1,47,3,2,0,1,2,2,1
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001211,6,0,37,85,2,1,51,2,3,1,2,1,0,1
1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5001221,7,1,42,91,4,3,45,0,0,4,2,2,2,1
