CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,MTS,CREEMOS - PATRIA,DEMOCRATAS,FE,LIBRE,NGP,SPT,PSC,TODOS-,PDC,A-UPP
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,5,Col. Esc. Unzaga De La Vega,7038471,1,4,29,13,2,42,3,40,0,9,6,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,5,Col. Esc. Unzaga De La Vega,7038481,2,1,29,13,1,48,4,49,2,5,3,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,5,Col. Esc. Unzaga De La Vega,7038491,3,3,25,19,3,57,1,42,1,9,2,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,5,Col. Esc. Unzaga De La Vega,7038501,4,1,36,19,0,46,1,39,6,6,0,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,5,Col. Esc. Unzaga De La Vega,7038511,5,3,35,19,1,44,3,44,3,10,2,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,5,Col. Esc. Unzaga De La Vega,7038521,6,3,34,17,1,52,2,39,1,6,3,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,5,Col. Esc. Unzaga De La Vega,7038531,7,1,22,11,1,43,3,50,1,12,4,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,5,Col. Esc. Unzaga De La Vega,7038541,8,5,14,0,0,54,7,31,2,10,3,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,5,Col. Esc. Unzaga De La Vega,7038551,9,2,28,13,1,54,1,27,5,6,5,
1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,5,Col. Esc. Unzaga De La Vega,7038561,10,5,31,12,2,65,3,24,4,9,5,
