CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,MTS,DEMOCRATAS,PDC,ISA,CDC,T,UNIR,PATRIA,AIR,NGP,SOMOSCHACO,MATE,APB-SUMATE,A-UPP,FAU,CCGT
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000017,1,6,0,20,6,,93,0,37,,0,,,,7,,
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000027,2,8,0,23,4,,95,0,48,,2,,,,9,,
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000037,3,9,0,20,4,,96,0,36,,4,,,,4,,
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000047,4,3,0,24,9,,88,0,36,,4,,,,6,,
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000057,5,5,0,27,4,,78,0,45,,3,,,,6,,
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000067,6,7,0,26,4,,78,0,38,,2,,,,2,,
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000077,7,6,0,16,3,,89,0,39,,2,,,,6,,
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000087,8,7,0,26,8,,73,0,36,,1,,,,11,,
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000097,9,7,0,17,1,,98,0,37,,4,,,,9,,
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000107,10,5,0,21,6,,92,0,50,,4,,,,4,,
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000117,11,2,0,21,6,,87,0,52,,1,,,,4,,
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000127,12,3,0,26,4,,90,0,25,,2,,,,6,,
1,Cercado,1,Tarija,1861,Monte Cercado,1,U.E. Monte Cercado,6000137,1,9,0,4,5,,105,0,39,,2,,,,2,,
1,Cercado,1,Tarija,1861,Monte Cercado,1,U.E. Monte Cercado,6000147,2,2,0,3,1,,25,0,11,,1,,,,0,,
1,Cercado,1,Tarija,1862,Sella Quebrada,1,U.E. Sella Quebrada,6000157,1,6,0,22,5,,78,0,40,,5,,,,2,,
1,Cercado,1,Tarija,1864,Yesera Norte,1,U.E. Yesera Norte,6000167,1,5,0,13,4,,87,0,37,,6,,,,6,,
1,Cercado,1,Tarija,1864,Yesera Norte,1,U.E. Yesera Norte,6000177,2,0,0,0,1,,35,0,8,,0,,,,1,,
1,Cercado,1,Tarija,1865,Yesera Centro,1,U.E. Yesera Centro,6000187,1,4,0,11,5,,97,0,31,,2,,,,10,,
1,Cercado,1,Tarija,1865,Yesera Centro,1,U.E. Yesera Centro,6000197,2,1,0,2,0,,35,0,6,,0,,,,1,,
1,Cercado,1,Tarija,1866,Yesera Sud,1,U.E. Yesera Sud,6000207,1,2,0,6,4,,108,0,47,,2,,,,1,,
1,Cercado,1,Tarija,1866,Yesera Sud,1,U.E. Yesera Sud,6000217,2,1,0,6,2,,29,0,14,,0,,,,3,,
1,Cercado,1,Tarija,1868,Junacas Sud,1,U.E. Junacas Sud,6000227,1,29,0,17,5,,65,0,20,,1,,,,2,,
1,Cercado,1,Tarija,1868,Junacas Sud,1,U.E. Junacas Sud,6000237,2,2,0,1,2,,15,0,7,,0,,,,1,,
1,Cercado,1,Tarija,1869,Carlazo Centro,1,U.E. Carlazo Centro,6000247,1,5,0,11,4,,55,0,17,,3,,,,6,,
1,Cercado,1,Tarija,1870,Papachacra,1,U.E. Papachacra,6000257,1,5,0,14,4,,82,0,23,,4,,,,3,,
1,Cercado,1,Tarija,1871,San Agustin Sud,1,U.E. San Agustin Sud,6000267,1,7,0,9,1,,42,0,33,,2,,,,3,,
1,Cercado,1,Tarija,1873,Santa Ana La Nueva,1,U.E. Santa Ana La Nueva,6000277,1,2,0,14,2,,87,0,45,,2,,,,3,,
