CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,PATRIA,MTS,CDC,PDC,ISA,APB-SUMATE,A-UPP,NGP
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000011,1,42,2,28,22,7,1,8,2
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000021,2,39,8,48,22,3,1,4,5
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000031,3,34,5,39,22,3,2,5,4
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000041,4,28,5,38,20,12,0,5,7
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000051,5,24,4,41,14,2,2,8,6
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000061,6,27,5,29,24,4,2,2,11
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000071,7,30,5,37,12,5,1,7,2
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000081,8,30,3,39,15,2,1,7,6
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000091,9,25,7,40,14,7,3,3,4
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000101,10,38,7,38,23,6,0,4,4
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000111,11,34,5,43,16,6,1,4,5
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000121,12,22,3,55,12,0,0,1,5
1,Cercado,1,Tarija,1861,Monte Cercado,1,U.E. Monte Cercado,6000131,1,24,11,53,6,7,0,4,3
1,Cercado,1,Tarija,1861,Monte Cercado,1,U.E. Monte Cercado,6000141,2,7,3,17,2,0,2,0,0
1,Cercado,1,Tarija,1862,Sella Quebrada,1,U.E. Sella Quebrada,6000151,1,20,2,32,16,4,3,3,2
1,Cercado,1,Tarija,1864,Yesera Norte,1,U.E. Yesera Norte,6000161,1,21,0,39,8,3,1,0,4
1,Cercado,1,Tarija,1864,Yesera Norte,1,U.E. Yesera Norte,6000171,2,3,2,18,1,1,3,0,1
1,Cercado,1,Tarija,1865,Yesera Centro,1,U.E. Yesera Centro,6000181,1,28,0,23,5,2,0,0,2
