CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,AIR,PATRIA,NGP,MTS,MATE,T,ISA,APB-SUMATE,SOMOSCHACO,PDC,UNIR
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,1,U.E. 27 de Mayo,6012516,1,1,16,1,17,8,2,3,6,2,8,2
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,1,U.E. 27 de Mayo,6012526,2,9,24,5,11,6,2,8,1,4,7,3
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,1,U.E. 27 de Mayo,6012536,3,13,23,1,5,10,4,6,4,3,13,6
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,1,U.E. 27 de Mayo,6012546,4,10,22,1,14,11,3,5,0,3,15,6
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,1,U.E. 27 de Mayo,6012556,5,4,16,3,6,9,5,1,1,3,8,3
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,1,U.E. 27 de Mayo,6012566,6,9,19,5,19,7,5,0,2,5,10,3
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,1,U.E. 27 de Mayo,6012576,7,2,28,3,17,8,2,6,1,1,12,5
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,1,U.E. 27 de Mayo,6012586,8,8,17,3,8,16,1,4,5,2,10,2
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,1,U.E. 27 de Mayo,6012596,9,2,4,0,2,0,2,1,0,1,1,1
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,3,U.E. Simón Bolívar,6010486,1,7,30,5,9,2,0,19,1,11,9,0
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,3,U.E. Simón Bolívar,6010496,2,10,23,1,25,6,3,24,2,1,4,1
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,3,U.E. Simón Bolívar,6010506,3,5,33,4,12,5,6,17,1,4,8,10
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,3,U.E. Simón Bolívar,6010516,4,9,19,5,16,4,6,19,7,4,7,8
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,3,U.E. Simón Bolívar,6010526,5,4,27,2,12,5,4,23,5,4,5,10
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,3,U.E. Simón Bolívar,6010536,6,6,26,1,8,5,1,24,3,2,10,3
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,3,U.E. Simón Bolívar,6010546,7,6,34,5,13,3,6,28,1,4,6,7
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,3,U.E. Simón Bolívar,6010556,8,4,35,2,18,3,5,21,1,3,4,5
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,3,U.E. Simón Bolívar,6010566,9,5,24,2,9,4,6,14,2,4,6,5
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,3,U.E. Simón Bolívar,6010576,10,6,30,1,11,2,4,22,3,2,2,6
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,3,U.E. Simón Bolívar,6010586,11,7,36,1,12,5,4,21,9,1,8,4
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,3,U.E. Simón Bolívar,6010596,12,9,33,3,12,2,2,16,6,5,6,7
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,3,U.E. Simón Bolívar,6010606,13,6,19,1,7,6,3,22,4,6,13,6
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,3,U.E. Simón Bolívar,6010616,14,12,33,4,8,3,5,20,7,5,1,7
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,3,U.E. Simón Bolívar,6010626,15,5,38,3,14,4,4,31,2,2,5,2
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,3,U.E. Simón Bolívar,6010636,16,1,2,0,2,1,0,4,0,0,0,2
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,4,U.E. Campo Grande,6012356,1,10,26,4,14,13,8,14,4,6,11,4
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,4,U.E. Campo Grande,6012366,2,12,22,0,6,14,6,12,4,8,14,4
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,4,U.E. Campo Grande,6012376,3,9,19,4,11,6,6,15,2,13,8,1
3,Gran Chaco,1,Yacuiba,1949,Yacuiba,4,U.E. Campo Grande,6012386,4,9,35,4,18,7,4,8,5,11,11,6
