CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,InscritosHabilitados,VotoValido,VotoBlanco,VotoNulo,VotoEmitido,VotoValidoReal,VotoEmitidoReal
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000011,1,240,111,74,14,199,111,199
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000021,2,240,132,67,8,207,132,207
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000031,3,240,108,79,17,204,108,204
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000041,4,240,112,76,10,198,112,198
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000051,5,240,110,70,22,202,110,202
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000061,6,240,106,71,16,193,106,193
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000071,7,240,105,77,13,195,105,195
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000081,8,240,106,78,13,197,106,197
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000091,9,240,107,80,13,200,107,200
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000101,10,240,121,68,17,206,121,206
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000111,11,240,115,72,5,192,115,192
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000121,12,209,111,62,9,182,111,182
1,Cercado,1,Tarija,1861,Monte Cercado,1,U.E. Monte Cercado,6000131,1,240,115,75,9,199,115,199
1,Cercado,1,Tarija,1861,Monte Cercado,1,U.E. Monte Cercado,6000141,2,64,32,11,2,45,32,45
1,Cercado,1,Tarija,1862,Sella Quebrada,1,U.E. Sella Quebrada,6000151,1,256,87,104,15,206,87,206
1,Cercado,1,Tarija,1864,Yesera Norte,1,U.E. Yesera Norte,6000161,1,240,78,100,15,193,78,193
1,Cercado,1,Tarija,1864,Yesera Norte,1,U.E. Yesera Norte,6000171,2,73,23,31,3,57,23,57
1,Cercado,1,Tarija,1865,Yesera Centro,1,U.E. Yesera Centro,6000181,1,240,71,121,6,198,71,198
1,Cercado,1,Tarija,1865,Yesera Centro,1,U.E. Yesera Centro,6000191,2,65,20,33,1,54,20,54
1,Cercado,1,Tarija,1866,Yesera Sud,1,U.E. Yesera Sud,6000201,1,240,75,125,4,204,75,204
1,Cercado,1,Tarija,1866,Yesera Sud,1,U.E. Yesera Sud,6000211,2,93,32,34,4,70,32,70
1,Cercado,1,Tarija,1868,Junacas Sud,1,U.E. Junacas Sud,6000221,1,240,83,94,15,192,83,192
1,Cercado,1,Tarija,1868,Junacas Sud,1,U.E. Junacas Sud,6000231,2,43,16,17,0,33,16,33
