CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,PATRIA,MTS,NGP,CDC,PDC,ISA,APB-SUMATE,A-UPP
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000011,1,41,2,2,30,23,6,,7
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000021,2,44,8,11,44,19,2,,4
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000031,3,35,6,5,39,15,4,,4
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000041,4,29,7,6,36,18,11,,5
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000051,5,31,5,6,43,13,3,,9
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000061,6,28,3,13,28,26,4,,4
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000071,7,33,5,6,40,11,3,,7
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000081,8,33,3,5,40,15,5,,5
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000091,9,27,4,5,42,17,7,,5
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000101,10,37,8,6,39,22,5,,4
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000111,11,35,4,7,39,18,6,,6
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000121,12,22,4,8,57,15,2,,3
1,Cercado,1,Tarija,1861,Monte Cercado,1,U.E. Monte Cercado,6000131,1,29,14,3,56,4,7,,2
1,Cercado,1,Tarija,1861,Monte Cercado,1,U.E. Monte Cercado,6000141,2,9,3,1,17,2,0,,0
1,Cercado,1,Tarija,1862,Sella Quebrada,1,U.E. Sella Quebrada,6000151,1,21,3,3,33,19,6,,2
1,Cercado,1,Tarija,1864,Yesera Norte,1,U.E. Yesera Norte,6000161,1,16,2,6,42,8,2,,2
1,Cercado,1,Tarija,1864,Yesera Norte,1,U.E. Yesera Norte,6000171,2,2,1,0,19,1,0,,0
1,Cercado,1,Tarija,1865,Yesera Centro,1,U.E. Yesera Centro,6000181,1,27,1,0,31,7,2,,3
1,Cercado,1,Tarija,1865,Yesera Centro,1,U.E. Yesera Centro,6000191,2,5,0,0,12,3,0,,0
1,Cercado,1,Tarija,1866,Yesera Sud,1,U.E. Yesera Sud,6000201,1,16,3,4,47,3,1,,1
1,Cercado,1,Tarija,1866,Yesera Sud,1,U.E. Yesera Sud,6000211,2,4,1,1,22,2,1,,1
1,Cercado,1,Tarija,1868,Junacas Sud,1,U.E. Junacas Sud,6000221,1,14,22,3,25,7,9,,3
1,Cercado,1,Tarija,1868,Junacas Sud,1,U.E. Junacas Sud,6000231,2,3,2,0,6,4,1,,0
1,Cercado,1,Tarija,1869,Carlazo Centro,1,U.E. Carlazo Centro,6000241,1,15,0,5,12,6,4,,7
1,Cercado,1,Tarija,1870,Papachacra,1,U.E. Papachacra,6000251,1,16,2,0,46,12,4,,5
1,Cercado,1,Tarija,1871,San Agustin Sud,1,U.E. San Agustin Sud,6000261,1,13,5,3,20,11,6,,3
1,Cercado,1,Tarija,1873,Santa Ana La Nueva,1,U.E. Santa Ana La Nueva,6000271,1,19,4,6,57,8,5,,2
1,Cercado,1,Tarija,1873,Santa Ana La Nueva,1,U.E. Santa Ana La Nueva,6000281,2,20,1,5,48,12,8,,3
1,Cercado,1,Tarija,1873,Santa Ana La Nueva,1,U.E. Santa Ana La Nueva,6000291,3,9,2,1,33,7,2,,0
1,Cercado,1,Tarija,1874,Gamoneda,1,U.E. Gamoneda,6000301,1,7,3,5,16,5,3,,3
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000311,1,31,2,4,51,9,3,,3
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000321,2,28,4,1,57,11,0,,2
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000331,3,34,4,6,46,19,1,,6
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000341,4,35,6,5,47,16,5,,2
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000351,5,33,9,4,57,4,3,,0
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000361,6,15,0,2,25,3,1,,1
1,Cercado,1,Tarija,1876,Tolomosa Grande,1,U.E. Oscar Zamora,6000371,1,13,14,4,32,14,6,,3
1,Cercado,1,Tarija,1876,Tolomosa Grande,1,U.E. Oscar Zamora,6000381,2,13,12,5,40,5,6,,5
1,Cercado,1,Tarija,1876,Tolomosa Grande,1,U.E. Oscar Zamora,6000391,3,21,13,4,24,18,9,,1
