CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,InscritosHabilitados,VotoValido,VotoBlanco,VotoNulo,VotoEmitido,VotoValidoReal,VotoEmitidoReal
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000017,1,240,118,68,13,199,118,199
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000027,2,240,135,66,6,207,135,207
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000037,3,240,131,68,5,204,131,204
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000047,4,240,116,73,9,198,116,198
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000057,5,240,114,73,15,202,114,202
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000067,6,240,109,68,16,193,109,193
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000077,7,240,107,76,13,196,107,196
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000087,8,240,115,64,18,197,115,197
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000097,9,240,115,74,11,200,115,200
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000107,10,240,134,55,17,206,134,206
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000117,11,240,120,64,8,192,120,192
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000127,12,209,113,60,9,182,113,182
1,Cercado,1,Tarija,1861,Monte Cercado,1,U.E. Monte Cercado,6000137,1,240,122,72,5,199,122,199
1,Cercado,1,Tarija,1861,Monte Cercado,1,U.E. Monte Cercado,6000147,2,64,33,10,2,45,33,45
1,Cercado,1,Tarija,1862,Sella Quebrada,1,U.E. Sella Quebrada,6000157,1,256,103,88,15,206,103,206
1,Cercado,1,Tarija,1864,Yesera Norte,1,U.E. Yesera Norte,6000167,1,240,73,103,17,193,73,193
1,Cercado,1,Tarija,1864,Yesera Norte,1,U.E. Yesera Norte,6000177,2,73,30,25,2,57,30,57
1,Cercado,1,Tarija,1865,Yesera Centro,1,U.E. Yesera Centro,6000187,1,240,72,120,6,198,72,198
1,Cercado,1,Tarija,1865,Yesera Centro,1,U.E. Yesera Centro,6000197,2,65,26,28,0,54,26,54
1,Cercado,1,Tarija,1866,Yesera Sud,1,U.E. Yesera Sud,6000207,1,240,70,128,6,204,70,204
1,Cercado,1,Tarija,1866,Yesera Sud,1,U.E. Yesera Sud,6000217,2,93,36,32,2,70,36,70
1,Cercado,1,Tarija,1868,Junacas Sud,1,U.E. Junacas Sud,6000227,1,240,93,85,14,192,93,192
1,Cercado,1,Tarija,1868,Junacas Sud,1,U.E. Junacas Sud,6000237,2,43,17,15,1,33,17,33
1,Cercado,1,Tarija,1869,Carlazo Centro,1,U.E. Carlazo Centro,6000247,1,155,55,71,2,128,55,128
1,Cercado,1,Tarija,1870,Papachacra,1,U.E. Papachacra,6000257,1,208,95,73,8,176,95,176
1,Cercado,1,Tarija,1871,San Agustin Sud,1,U.E. San Agustin Sud,6000267,1,176,70,64,9,143,70,143
1,Cercado,1,Tarija,1873,Santa Ana La Nueva,1,U.E. Santa Ana La Nueva,6000277,1,240,105,89,11,205,105,205
1,Cercado,1,Tarija,1873,Santa Ana La Nueva,1,U.E. Santa Ana La Nueva,6000287,2,240,104,89,8,201,104,201
1,Cercado,1,Tarija,1873,Santa Ana La Nueva,1,U.E. Santa Ana La Nueva,6000297,3,112,54,42,6,102,54,102
1,Cercado,1,Tarija,1874,Gamoneda,1,U.E. Gamoneda,6000307,1,221,64,124,14,202,64,202
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000317,1,240,101,83,24,208,101,208
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000327,2,240,113,76,10,199,113,199
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000337,3,240,113,67,23,203,113,203
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000347,4,240,116,76,13,205,116,205
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000357,5,240,116,90,15,221,116,221
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000367,6,86,47,28,8,83,47,83
1,Cercado,1,Tarija,1876,Tolomosa Grande,1,U.E. Oscar Zamora,6000377,1,240,88,85,18,191,88,191
1,Cercado,1,Tarija,1876,Tolomosa Grande,1,U.E. Oscar Zamora,6000387,2,240,88,85,14,187,88,187
1,Cercado,1,Tarija,1876,Tolomosa Grande,1,U.E. Oscar Zamora,6000397,3,240,96,77,11,184,96,184
1,Cercado,1,Tarija,1876,Tolomosa Grande,1,U.E. Oscar Zamora,6000407,4,142,41,56,4,101,41,101
1,Cercado,1,Tarija,1877,Tolomosita Centro,1,U.E. Tolomosita,6000417,1,240,90,83,21,194,90,194
1,Cercado,1,Tarija,1877,Tolomosita Centro,1,U.E. Tolomosita,6000427,2,156,56,72,8,136,56,136
1,Cercado,1,Tarija,1878,San Jacinto Sud,1,U.E. San Jacinto Sud,6000437,1,240,113,75,4,192,113,192
1,Cercado,1,Tarija,1878,San Jacinto Sud,1,U.E. San Jacinto Sud,6000447,2,245,98,92,6,196,98,196
1,Cercado,1,Tarija,1880,Pampa Redonda Centro,1,U.E. Luis De Fuentes,6000457,1,240,96,69,9,174,96,174
1,Cercado,1,Tarija,1880,Pampa Redonda Centro,1,U.E. Luis De Fuentes,6000467,2,208,71,74,8,153,71,153
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000477,1,240,91,88,9,188,91,188
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000487,2,240,92,81,11,184,92,184
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000497,3,240,85,97,10,192,85,192
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000507,4,240,76,96,23,195,76,195
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000517,5,240,88,83,12,183,88,183
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000527,6,240,87,87,19,193,87,193
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000537,7,240,87,68,36,191,87,191
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000547,8,23,9,8,0,17,9,17
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000557,1,240,128,75,8,211,128,211
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000567,2,240,101,83,13,197,101,197
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000577,3,240,101,89,10,200,101,200
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000587,4,240,88,90,25,203,88,203
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000597,5,240,109,84,15,208,109,208
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000607,6,240,101,97,9,207,101,207
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000617,7,254,95,97,26,218,95,218
1,Cercado,1,Tarija,1884,Bella Vista,1,U.E. Bella Vista,6000627,1,240,62,112,14,188,62,188
1,Cercado,1,Tarija,1884,Bella Vista,1,U.E. Bella Vista,6000637,2,240,80,97,12,189,80,189
1,Cercado,1,Tarija,1884,Bella Vista,1,U.E. Bella Vista,6000647,3,33,10,14,4,28,10,28
1,Cercado,1,Tarija,1885,Pinos Sud,1,U.E. Pinos Sud,6000657,1,240,78,99,10,187,78,187
1,Cercado,1,Tarija,1885,Pinos Sud,1,U.E. Pinos Sud,6000667,2,171,62,64,3,129,62,129
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000827,1,240,159,27,15,201,159,201
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000837,2,240,160,36,3,199,160,199
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000847,3,240,158,34,11,203,158,203
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000857,4,240,166,31,7,204,166,204
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000867,5,240,167,23,9,199,167,199
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000877,6,240,166,24,6,196,166,196
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000887,7,240,157,42,7,206,157,206
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000897,8,240,154,45,8,207,154,207
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000907,9,153,100,26,6,132,100,132
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001207,1,240,165,40,8,213,165,213
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001217,2,240,126,44,27,197,126,197
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001227,3,240,167,32,11,210,167,210
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001237,4,240,167,36,5,208,167,208
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001247,5,240,166,35,7,208,166,208
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001257,6,240,154,46,13,213,154,213
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001267,7,240,153,46,8,207,153,207
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001277,8,240,157,50,4,211,157,211
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001287,9,115,75,16,6,97,75,97
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001357,1,240,163,37,5,205,163,205
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001367,2,240,159,44,10,213,159,213
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001377,3,240,148,47,8,203,148,203
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001387,4,240,157,47,6,210,157,210
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001397,5,240,165,43,7,215,165,215
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001407,6,240,168,36,8,212,168,212
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001417,7,240,158,44,14,216,158,216
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001427,8,240,152,51,7,210,152,210
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001437,9,240,158,41,6,205,158,205
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001447,10,118,81,19,1,101,81,101
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6000957,1,240,167,39,5,211,167,211
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6000967,2,240,160,36,9,205,160,205
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6000977,3,240,151,31,15,197,151,197
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6000987,4,240,165,42,2,209,165,209
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6000997,5,240,186,13,7,206,186,206
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001007,6,240,163,39,5,207,163,207
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001017,7,240,154,37,15,206,154,206
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001027,8,240,149,41,6,196,149,196
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001037,9,240,155,43,8,206,155,206
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001047,10,240,157,45,7,209,157,209
