CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,MTS,DEMOCRATAS,PDC,ISA,CDC,T,UNIR,PATRIA,AIR,NGP,SOMOSCHACO,MATE,APB-SUMATE,A-UPP,CCGT,FAU
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000017,1,6,0,17,5,,62,0,21,,0,,,,7,,
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000027,2,7,0,18,1,,65,0,39,,0,,,,5,,
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000037,3,6,1,16,1,,72,1,25,,4,,,,5,,
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000047,4,1,1,16,8,,61,0,20,,3,,,,6,,
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000057,5,6,0,25,3,,55,0,21,,1,,,,3,,
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000067,6,4,0,24,4,,50,0,24,,2,,,,1,,
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000077,7,5,0,14,2,,62,0,20,,2,,,,2,,
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000087,8,6,0,19,6,,55,0,19,,0,,,,10,,
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000097,9,4,0,15,2,,67,0,23,,0,,,,4,,
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000107,10,2,0,16,5,,75,0,31,,1,,,,4,,
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000117,11,3,0,18,3,,61,0,29,,3,,,,3,,
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000127,12,2,0,20,2,,69,0,18,,0,,,,2,,
1,Cercado,1,Tarija,1861,Monte Cercado,1,U.E. Monte Cercado,6000137,1,7,2,7,1,,69,2,31,,2,,,,1,,
1,Cercado,1,Tarija,1861,Monte Cercado,1,U.E. Monte Cercado,6000147,2,3,0,2,0,,21,0,7,,0,,,,0,,
1,Cercado,1,Tarija,1862,Sella Quebrada,1,U.E. Sella Quebrada,6000157,1,5,2,11,1,,53,3,21,,4,,,,3,,
1,Cercado,1,Tarija,1864,Yesera Norte,1,U.E. Yesera Norte,6000167,1,0,0,5,2,,49,2,13,,0,,,,2,,
1,Cercado,1,Tarija,1864,Yesera Norte,1,U.E. Yesera Norte,6000177,2,0,0,0,0,,25,1,4,,0,,,,0,,
1,Cercado,1,Tarija,1865,Yesera Centro,1,U.E. Yesera Centro,6000187,1,1,1,6,3,,42,3,15,,0,,,,1,,
1,Cercado,1,Tarija,1865,Yesera Centro,1,U.E. Yesera Centro,6000197,2,1,1,0,0,,21,0,2,,0,,,,1,,
1,Cercado,1,Tarija,1866,Yesera Sud,1,U.E. Yesera Sud,6000207,1,1,1,3,0,,46,1,17,,1,,,,0,,
1,Cercado,1,Tarija,1866,Yesera Sud,1,U.E. Yesera Sud,6000217,2,0,1,3,0,,19,0,11,,0,,,,2,,
1,Cercado,1,Tarija,1868,Junacas Sud,1,U.E. Junacas Sud,6000227,1,22,1,9,4,,41,4,9,,1,,,,2,,
1,Cercado,1,Tarija,1868,Junacas Sud,1,U.E. Junacas Sud,6000237,2,2,0,0,2,,12,0,1,,0,,,,0,,
1,Cercado,1,Tarija,1869,Carlazo Centro,1,U.E. Carlazo Centro,6000247,1,1,0,7,2,,31,2,6,,1,,,,5,,
1,Cercado,1,Tarija,1870,Papachacra,1,U.E. Papachacra,6000257,1,1,2,15,2,,59,1,14,,0,,,,1,,
1,Cercado,1,Tarija,1871,San Agustin Sud,1,U.E. San Agustin Sud,6000267,1,6,2,7,1,,31,3,15,,1,,,,4,,
1,Cercado,1,Tarija,1873,Santa Ana La Nueva,1,U.E. Santa Ana La Nueva,6000277,1,0,5,9,2,,63,2,24,,0,,,,0,,
1,Cercado,1,Tarija,1873,Santa Ana La Nueva,1,U.E. Santa Ana La Nueva,6000287,2,3,0,12,5,,39,3,36,,4,,,,2,,
1,Cercado,1,Tarija,1873,Santa Ana La Nueva,1,U.E. Santa Ana La Nueva,6000297,3,1,0,11,2,,23,2,13,,2,,,,0,,
1,Cercado,1,Tarija,1874,Gamoneda,1,U.E. Gamoneda,6000307,1,2,0,11,2,,42,0,6,,0,,,,1,,
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000317,1,2,0,12,3,,58,0,19,,3,,,,4,,
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000327,2,2,0,14,3,,66,0,27,,0,,,,1,,
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000337,3,3,0,15,3,,55,0,30,,2,,,,5,,
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000347,4,5,0,10,2,,67,0,27,,4,,,,1,,
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000357,5,3,0,4,2,,70,0,32,,4,,,,1,,
