CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,InscritosHabilitados,VotoValido,VotoBlanco,VotoNulo,VotoEmitido,VotoValidoReal,VotoEmitidoReal
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000011,1,240,157,24,18,199,157,199
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000021,2,240,179,20,8,207,179,207
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000031,3,240,171,13,20,204,171,204
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000041,4,240,165,18,15,198,165,198
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000051,5,240,153,16,33,202,153,202
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000061,6,240,146,18,29,193,146,193
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000071,7,240,154,14,27,195,154,195
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000081,8,240,164,18,15,197,164,197
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000091,9,240,155,30,15,200,155,200
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000101,10,240,169,13,24,206,169,206
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000111,11,240,169,13,10,192,169,192
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000121,12,209,149,18,15,182,149,182
1,Cercado,1,Tarija,1861,Monte Cercado,1,U.E. Monte Cercado,6000131,1,240,153,27,19,199,153,199
1,Cercado,1,Tarija,1861,Monte Cercado,1,U.E. Monte Cercado,6000141,2,64,43,1,1,45,43,45
1,Cercado,1,Tarija,1862,Sella Quebrada,1,U.E. Sella Quebrada,6000151,1,256,154,24,28,206,154,206
1,Cercado,1,Tarija,1864,Yesera Norte,1,U.E. Yesera Norte,6000161,1,240,155,12,26,193,155,193
1,Cercado,1,Tarija,1864,Yesera Norte,1,U.E. Yesera Norte,6000171,2,73,49,2,6,57,49,57
1,Cercado,1,Tarija,1865,Yesera Centro,1,U.E. Yesera Centro,6000181,1,240,159,19,20,198,159,198
1,Cercado,1,Tarija,1865,Yesera Centro,1,U.E. Yesera Centro,6000191,2,65,44,4,6,54,44,54
1,Cercado,1,Tarija,1866,Yesera Sud,1,U.E. Yesera Sud,6000201,1,240,167,22,15,204,167,204
1,Cercado,1,Tarija,1866,Yesera Sud,1,U.E. Yesera Sud,6000211,2,93,57,6,7,70,57,70
1,Cercado,1,Tarija,1868,Junacas Sud,1,U.E. Junacas Sud,6000221,1,240,139,26,27,192,139,192
1,Cercado,1,Tarija,1868,Junacas Sud,1,U.E. Junacas Sud,6000231,2,43,27,4,2,33,27,33
1,Cercado,1,Tarija,1869,Carlazo Centro,1,U.E. Carlazo Centro,6000241,1,155,98,16,14,128,98,128
1,Cercado,1,Tarija,1870,Papachacra,1,U.E. Papachacra,6000251,1,208,124,24,28,176,124,176
1,Cercado,1,Tarija,1871,San Agustin Sud,1,U.E. San Agustin Sud,6000261,1,176,103,18,22,143,103,143
1,Cercado,1,Tarija,1873,Santa Ana La Nueva,1,U.E. Santa Ana La Nueva,6000271,1,240,158,20,27,205,158,205
1,Cercado,1,Tarija,1873,Santa Ana La Nueva,1,U.E. Santa Ana La Nueva,6000281,2,240,161,21,18,200,161,200
1,Cercado,1,Tarija,1873,Santa Ana La Nueva,1,U.E. Santa Ana La Nueva,6000291,3,112,82,10,10,102,82,102
1,Cercado,1,Tarija,1874,Gamoneda,1,U.E. Gamoneda,6000301,1,221,128,28,46,202,128,202
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000311,1,240,164,23,22,209,164,209
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000321,2,240,165,14,20,199,165,199
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000331,3,240,173,11,19,203,173,203
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000341,4,240,173,15,17,205,173,205
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000351,5,240,172,21,28,221,172,221
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000361,6,86,70,4,9,83,70,83
1,Cercado,1,Tarija,1876,Tolomosa Grande,1,U.E. Oscar Zamora,6000371,1,240,142,21,27,190,142,190
1,Cercado,1,Tarija,1876,Tolomosa Grande,1,U.E. Oscar Zamora,6000381,2,240,135,24,28,187,135,187
1,Cercado,1,Tarija,1876,Tolomosa Grande,1,U.E. Oscar Zamora,6000391,3,240,143,20,21,184,143,184
1,Cercado,1,Tarija,1876,Tolomosa Grande,1,U.E. Oscar Zamora,6000401,4,142,74,17,10,101,74,101
1,Cercado,1,Tarija,1877,Tolomosita Centro,1,U.E. Tolomosita,6000411,1,240,146,17,30,193,146,193
1,Cercado,1,Tarija,1877,Tolomosita Centro,1,U.E. Tolomosita,6000421,2,156,106,16,16,138,106,138
1,Cercado,1,Tarija,1878,San Jacinto Sud,1,U.E. San Jacinto Sud,6000431,1,240,147,27,18,192,147,192
1,Cercado,1,Tarija,1878,San Jacinto Sud,1,U.E. San Jacinto Sud,6000441,2,245,155,24,17,196,155,196
1,Cercado,1,Tarija,1880,Pampa Redonda Centro,1,U.E. Luis De Fuentes,6000451,1,240,139,19,16,174,139,174
1,Cercado,1,Tarija,1880,Pampa Redonda Centro,1,U.E. Luis De Fuentes,6000461,2,208,125,12,16,153,125,153
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000471,1,240,139,23,26,188,139,188
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000481,2,240,135,26,23,184,135,184
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000491,3,240,141,25,26,192,141,192
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000501,4,240,136,25,34,195,136,195
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000511,5,240,143,19,21,183,143,183
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000521,6,240,141,22,29,192,141,192
1,Cercado,1,Tarija,1882,Guerra Huayco,1,U.E. San Lazaro de Guerra Huayco,6000531,7,240,135,21,35,191,135,191
