CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,PATRIA,CDC
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000011,1,37,135
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000021,2,49,143
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000031,3,36,142
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000041,4,44,137
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000051,5,40,146
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000061,6,31,140
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000071,7,38,127
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000081,8,48,119
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000091,9,38,144
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000101,10,50,134
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000111,11,34,149
1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6000121,12,38,132
1,Cercado,1,Tarija,1861,Monte Cercado,1,U.E. Monte Cercado,6000131,1,22,150
1,Cercado,1,Tarija,1861,Monte Cercado,1,U.E. Monte Cercado,6000141,2,8,33
1,Cercado,1,Tarija,1862,Sella Quebrada,1,U.E. Sella Quebrada,6000151,1,31,143
1,Cercado,1,Tarija,1864,Yesera Norte,1,U.E. Yesera Norte,6000161,1,44,118
1,Cercado,1,Tarija,1864,Yesera Norte,1,U.E. Yesera Norte,6000171,2,13,41
1,Cercado,1,Tarija,1865,Yesera Centro,1,U.E. Yesera Centro,6000181,1,45,130
1,Cercado,1,Tarija,1865,Yesera Centro,1,U.E. Yesera Centro,6000191,2,12,34
1,Cercado,1,Tarija,1866,Yesera Sud,1,U.E. Yesera Sud,6000201,1,21,162
1,Cercado,1,Tarija,1866,Yesera Sud,1,U.E. Yesera Sud,6000211,2,7,51
1,Cercado,1,Tarija,1868,Junacas Sud,1,U.E. Junacas Sud,6000221,1,30,117
1,Cercado,1,Tarija,1868,Junacas Sud,1,U.E. Junacas Sud,6000231,2,9,18
1,Cercado,1,Tarija,1869,Carlazo Centro,1,U.E. Carlazo Centro,6000241,1,19,89
1,Cercado,1,Tarija,1870,Papachacra,1,U.E. Papachacra,6000251,1,24,115
1,Cercado,1,Tarija,1871,San Agustin Sud,1,U.E. San Agustin Sud,6000261,1,15,120
1,Cercado,1,Tarija,1873,Santa Ana La Nueva,1,U.E. Santa Ana La Nueva,6000271,1,35,153
1,Cercado,1,Tarija,1873,Santa Ana La Nueva,1,U.E. Santa Ana La Nueva,6000281,2,23,169
1,Cercado,1,Tarija,1873,Santa Ana La Nueva,1,U.E. Santa Ana La Nueva,6000291,3,11,76
1,Cercado,1,Tarija,1874,Gamoneda,1,U.E. Gamoneda,6000301,1,17,150
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000311,1,35,145
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000321,2,49,135
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000331,3,30,160
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000341,4,45,148
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000351,5,38,156
1,Cercado,1,Tarija,1875,La Pintada,1,U.E. La Pintada,6000361,6,11,65
1,Cercado,1,Tarija,1876,Tolomosa Grande,1,U.E. Oscar Zamora,6000371,1,25,121
1,Cercado,1,Tarija,1876,Tolomosa Grande,1,U.E. Oscar Zamora,6000381,2,29,119
1,Cercado,1,Tarija,1876,Tolomosa Grande,1,U.E. Oscar Zamora,6000391,3,34,120
1,Cercado,1,Tarija,1876,Tolomosa Grande,1,U.E. Oscar Zamora,6000401,4,21,57
1,Cercado,1,Tarija,1877,Tolomosita Centro,1,U.E. Tolomosita,6000411,1,43,112
1,Cercado,1,Tarija,1877,Tolomosita Centro,1,U.E. Tolomosita,6000421,2,16,94
1,Cercado,1,Tarija,1878,San Jacinto Sud,1,U.E. San Jacinto Sud,6000431,1,37,139
